Item,Aspect,Level,Required Skill,Extra Requirement,Result Aspects
Labhitic Tincture (Material),Edge,5,Edicts Martial,,Edge 2 / Lantern 1
Labhitic Tincture (Material),Edge,5,Disciplines of the Hammer,,Edge 2 / Lantern 1
Labhitic Tincture (Material),Edge,5,Ragged Crossroads,,Edge 2 / Lantern 1
Labhitic Tincture (Material),Edge,5,Sickle & Eclipse,,Edge 2 / Lantern 1
Torgue's Cleansing (Memory),Edge,5,Disciplines of the Scar,,Edge 2
Torgue's Cleansing (Memory),Edge,5,Auroral Contemplations,,Edge 2
Torgue's Cleansing (Memory),Edge,5,Sharps,,Edge 2
Torgue's Cleansing (Memory),Edge,5,Meniscate Reflections,,Edge 2
"Perinculate (Liquid, Ink)",Edge,10,Disciplines of the Scar,Leaf,Edge 4 / Scale 4
"Perinculate (Liquid, Ink)",Edge,10,Edicts Martial,Leaf,Edge 4 / Scale 4
"Perinculate (Liquid, Ink)",Edge,10,Sickle & Eclipse,Leaf,Edge 4 / Scale 4
Winning Move (Memory),Edge,10,Disciplines of the Hammer,Memory,Edge 3
Winning Move (Memory),Edge,10,Auroral Contemplations,Memory,Edge 3
Winning Move (Memory),Edge,10,Meniscate Reflections,Memory,Edge 3
Winning Move (Memory),Edge,10,Sharps,Memory,Edge 3
Winning Move (Memory),Edge,10,Ragged Crossroads,Memory,Edge 3
Serpent-Milk (Beverage),Edge,15,Sickle & Eclipse,Perinculate,Edge 6 / Knock 2 / Scale 3
Serpent-Milk (Beverage),Edge,15,Sharps,Perinculate,Edge 6 / Knock 2 / Scale 3
Serpent-Milk (Beverage),Edge,15,Meniscate Reflections,Perinculate,Edge 6 / Knock 2 / Scale 3
Serpent-Milk (Beverage),Edge,15,Disciplines of the Scar,Perinculate,Edge 6 / Knock 2 / Scale 3
Invincible Audacity (Persistent Memory),Edge,15,Disciplines of the Hammer,Winning Move (Memory),Edge 6 / Forge 3 / Lantern 3
Invincible Audacity (Persistent Memory),Edge,15,Edicts Martial,Winning Move (Memory),Edge 6 / Forge 3 / Lantern 3
Invincible Audacity (Persistent Memory),Edge,15,Auroral Contemplations,Winning Move (Memory),Edge 6 / Forge 3 / Lantern 3
Bitterblack Salts (Material),Forge,5,Bells & Brazieries,,Forge 1
Bitterblack Salts (Material),Forge,5,Transformations & Liberations,,Forge 1
Bitterblack Salts (Material),Forge,5,Disciplines of the Hammer,,Forge 1
Bitterblack Salts (Material),Forge,5,Door & Wall,,Forge 1
Bitterblack Salts (Material),Forge,5,Anbary & Lapidary,,Forge 1
Westcott's Compounds (Material),Forge,5,Pyroglyphics,,Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds (Material),Forge,5,Meniscate Reflections,,Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds (Material),Forge,5,Spices & Savours,,Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Iotic Essence (Liquid),Forge,10,Transformations & Liberations,Liquid,Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,10,Anbary & Lapidary,Liquid,Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,10,Pyroglyphics,Liquid,Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,10,Spices & Savours,Liquid,Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,10,Meniscate Reflections,Liquid,Forge 5 / Lantern 3
Wire (Orichalcum) (Material),Forge,10,Bells & Brazieries,Metal,Forge 4 / Lantern 1
Wire (Orichalcum) (Material),Forge,10,Door & Wall,Metal,Forge 4 / Lantern 1
Wire (Orichalcum) (Material),Forge,10,Disciplines of the Hammer,Metal,Forge 4 / Lantern 1
Orpiment Exultant (Liquid),Forge,15,Transformations & Liberations,Iotic Essence (Liquid),Forge 7 / Heart 7 / Sky 7
Orpiment Exultant (Liquid),Forge,15,Inks of Power,Iotic Essence (Liquid),Forge 7 / Heart 7 / Sky 7
Orpiment Exultant (Liquid),Forge,15,Anbary & Lapidary,Iotic Essence (Liquid),Forge 7 / Heart 7 / Sky 7
Azoth (Liquid),Forge,15,Pyroglyphics,Wire (Orichalcum) (Material),Forge 2 / Knock 6
Azoth (Liquid),Forge,15,Bells & Brazieries,Wire (Orichalcum) (Material),Forge 2 / Knock 6
Azoth (Liquid),Forge,15,Meniscate Reflections,Wire (Orichalcum) (Material),Forge 2 / Knock 6
Azoth (Liquid),Forge,15,Purifications & Exaltations,Wire (Orichalcum) (Material),Forge 2 / Knock 6
Azoth (Liquid),Forge,15,Disciplines of the Hammer,Wire (Orichalcum) (Material),Forge 2 / Knock 6
Azoth (Liquid),Forge,15,Door & Wall,Wire (Orichalcum) (Material),Forge 2 / Knock 6
Azoth (Liquid),Forge,15,Spices & Savours,Honeyscar Jasmine (Flower),Forge 2 / Knock 6
Iotic Essence (Liquid),Forge,15,Transformations & Liberations,Bitterblack Salts (Material),Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,15,Meniscate Reflections,Bitterblack Salts (Material),Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,15,Disciplines of the Hammer,Bitterblack Salts (Material),Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,15,Transformations & Liberations,Xanthotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,15,Meniscate Reflections,Xanthotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence (Liquid),Forge,15,Disciplines of the Hammer,Xanthotic Essence (Liquid),Forge 5 / Lantern 3
Beguiling Melody (Memory),Grail,5,Applebright Euphonies,,Grail 2 / Sky 2
Beguiling Melody (Memory),Grail,5,Resurgences & Emergences,,Grail 2 / Sky 2
Beguiling Melody (Memory),Grail,5,Pentiments & Precursors,,Grail 2 / Sky 2
Beguiling Melody (Memory),Grail,5,Tridesma Hiera,,Grail 2 / Sky 2
Witching Tisane (Beverage),Grail,5,Orchids & Narcotics,,Grail 2 / Heart 1
Witching Tisane (Beverage),Grail,5,Leaves & Thorns,,Grail 2 / Heart 1
Witching Tisane (Beverage),Grail,5,Desires & Dissolutions,,Grail 2 / Heart 1
Witching Tisane (Beverage),Grail,5,The Great Signs and the Great Scars,,Grail 2 / Heart 1
Witching Tisane (Beverage),Grail,5,Sea Stories,,Grail 2 / Heart 1
Rubywise Ruin (Beverage),Grail,10,Desires & Dissolutions,Flower,Grail 4 / Heart 2 / Moth 2 / Nectar 2 / Rose 2
Rubywise Ruin (Beverage),Grail,10,Orchids & Narcotics,Flower,Grail 4 / Heart 2 / Moth 2 / Nectar 2 / Rose 2
Rubywise Ruin (Beverage),Grail,10,Applebright Euphonies,Flower,Grail 4 / Heart 2 / Moth 2 / Nectar 2 / Rose 2
Rubywise Ruin (Beverage),Grail,10,Leaves & Thorns,Flower,Grail 4 / Heart 2 / Moth 2 / Nectar 2 / Rose 2
Pale Mommet (Device),Grail,10,Sea Stories,Fabric,Grail 4 / Heart 2 / Moth 2
Pale Mommet (Device),Grail,10,Pentiments & Precursors,Fabric,Grail 4 / Heart 2 / Moth 2
Pale Mommet (Device),Grail,10,Resurgences & Emergences,Fabric,Grail 4 / Heart 2 / Moth 2
Pale Mommet (Device),Grail,10,The Great Signs and the Great Scars,Fabric,Grail 4 / Heart 2 / Moth 2
Pale Mommet (Device),Grail,10,Tridesma Hiera,Fabric,Grail 4 / Heart 2 / Moth 2
Sacrament Calicite (Beverage),Grail,15,Orchids & Narcotics,Rubywise Ruin (Beverage),Grail 6
Sacrament Calicite (Beverage),Grail,15,Applebright Euphonies,Rubywise Ruin (Beverage),Grail 6
Sacrament Calicite (Beverage),Grail,15,Leaves & Thorns,Rubywise Ruin (Beverage),Grail 6
Sacrament Calicite (Beverage),Grail,15,Sea Stories,Rubywise Ruin (Beverage),Grail 6
Sacrament Calicite (Beverage),Grail,15,Tridesma Hiera,Rubywise Ruin (Beverage),Grail 6
Flushed Mommet (Device),Grail,15,Resurgences & Emergences,Pale Mommet (Device),Grail 6 / Heart 3 / Moth 3
Flushed Mommet (Device),Grail,15,Furs & Feathers,Pale Mommet (Device),Grail 6 / Heart 3 / Moth 3
Flushed Mommet (Device),Grail,15,The Great Signs and the Great Scars,Pale Mommet (Device),Grail 6 / Heart 3 / Moth 3
Flushed Mommet (Device),Grail,15,Pentiments & Precursors,Pale Mommet (Device),Grail 6 / Heart 3 / Moth 3
Flushed Mommet (Device),Grail,15,Desires & Dissolutions,Pale Mommet (Device),Grail 6 / Heart 3 / Moth 3
Cheerful Ditty (Memory),Heart,5,Strings & Songs,,Heart 2 / Sky 1
Cheerful Ditty (Memory),Heart,5,Drums & Dances,,Heart 2 / Sky 1
"Perhibiate (Liquid, Ink)",Heart,5,Stitching & Binding,,Heart 2 / Lantern 2 / Scale 2 / Winter 1
"Perhibiate (Liquid, Ink)",Heart,5,Weaving & Knotworking,,Heart 2 / Lantern 2 / Scale 2 / Winter 1
Regensburg Balm (Liquid),Heart,5,Herbs & Infusions,,Heart 2 / Nectar 2
Regensburg Balm (Liquid),Heart,5,Quenchings & Quellings,,Heart 2 / Nectar 2
Regensburg Balm (Liquid),Heart,5,Surgeries & Exsanguinations,,Heart 2 / Nectar 2
Regensburg Balm (Liquid),Heart,5,Maggephene Mysteries,,Heart 2 / Nectar 2
Regensburg Balm (Liquid),Heart,5,Edicts Inviolable,,Heart 2 / Nectar 2
Frith-Weft (Fabric),Heart,10,Weaving & Knotworking,Fabric,Heart 3
Frith-Weft (Fabric),Heart,10,Stitching & Binding,Fabric,Heart 3
Gideon's Soaks (Liquid),Heart,10,Quenchings & Quellings,Liquid,Forge 2 / Heart 4 / Nectar 3 / Winter 2
Gideon's Soaks (Liquid),Heart,10,Edicts Inviolable,Liquid,Forge 2 / Heart 4 / Nectar 3 / Winter 2
Thunderskin's Paean (Memory),Heart,10,Drums & Dances,Instrument,Grail 1 / Heart 4 / Scale 1
Gideon's Soaks (Liquid),Heart,10,Surgeries & Exsanguinations,Liquid,Forge 2 / Heart 4 / Nectar 3 / Winter 2
Gideon's Soaks (Liquid),Heart,10,Maggephene Mysteries,Liquid,Forge 2 / Heart 4 / Nectar 3 / Winter 2
Gideon's Soaks (Liquid),Heart,10,Herbs & Infusions,Liquid,Forge 2 / Heart 4 / Nectar 3 / Winter 2
Thunderskin's Paean (Memory),Heart,10,Strings & Songs,Instrument,Grail 1 / Heart 4 / Scale 1
Swaddled Thunder (Fabric),Heart,15,Weaving & Knotworking,Frith-Weft (Fabric),Heart 6 / Sky 4
Swaddled Thunder (Fabric),Heart,15,Stitching & Binding,Frith-Weft (Fabric),Heart 6 / Sky 4
Swaddled Thunder (Fabric),Heart,15,Quenchings & Quellings,Frith-Weft (Fabric),Heart 6 / Sky 4
Swaddled Thunder (Fabric),Heart,15,Drums & Dances,Thunderskin's Paean (Memory),Heart 6 / Sky 4
Swaddled Thunder (Fabric),Heart,15,Strings & Songs,Thunderskin's Paean (Memory),Heart 6 / Sky 4
January Sanguinary (Liquid),Heart,15,Maggephene Mysteries,Gideon's Soaks (Liquid),Heart 5 / Knock 3 / Sky 3
January Sanguinary (Liquid),Heart,15,Surgeries & Exsanguinations,Gideon's Soaks (Liquid),Heart 5 / Knock 3 / Sky 3
January Sanguinary (Liquid),Heart,15,Herbs & Infusions,Gideon's Soaks (Liquid),Heart 5 / Knock 3 / Sky 3
January Sanguinary (Liquid),Heart,15,Edicts Inviolable,Gideon's Soaks (Liquid),Heart 5 / Knock 3 / Sky 3
Secret Threshold (Memory),Knock,5,Edicts Liminal,,Knock 2 / Rose 1
Secret Threshold (Memory),Knock,5,Door & Wall,,Knock 2 / Rose 1
Secret Threshold (Memory),Knock,5,Horns & Ivories,,Knock 2 / Rose 1
Secret Threshold (Memory),Knock,5,Preliminal Meter,,Knock 2 / Rose 1
Amethyst Ampoule (Liquid),Knock,5,Glassblowing & Vesselcrafting,,Heart 2 / Knock 2
Amethyst Ampoule (Liquid),Knock,5,Surgeries & Exsanguinations,,Heart 2 / Knock 2
Amethyst Ampoule (Liquid),Knock,5,Solutions & Separations,,Heart 2 / Knock 2
Amethyst Ampoule (Liquid),Knock,5,Lockworks & Clockworks,,Heart 2 / Knock 2
Amethyst Ampoule (Liquid),Knock,5,The Great Signs and the Great Scars,,Heart 2 / Knock 2
Wire (Orichalcum) (Material),Knock,10,Glassblowing & Vesselcrafting,Metal,Forge 4 / Lantern 1
Gervinite (Material),Knock,10,Lockworks & Clockworks,Glass,Knock 4 / Rose 2
Curious Hunch (Persistent Memory),Knock,10,The Great Signs and the Great Scars,Memory,Heart 3 / Knock 4 / Lantern 3 / Moth 3
Glassfinger Toxin (Liquid),Knock,10,Edicts Liminal,Liquid,Forge 2 / Knock 4 / Lantern 2
Curious Hunch (Persistent Memory),Knock,10,Preliminal Meter,Memory,Heart 3 / Knock 4 / Lantern 3 / Moth 3
Glassfinger Toxin (Liquid),Knock,10,Solutions & Separations,Liquid,Forge 2 / Knock 4 / Lantern 2
Glassfinger Toxin (Liquid),Knock,10,Surgeries & Exsanguinations,Liquid,Forge 2 / Knock 4 / Lantern 2
Glassfinger Toxin (Liquid),Knock,10,Door & Wall,Liquid,Forge 2 / Knock 4 / Lantern 2
Chimeric Larva (Beast),Knock,10,Horns & Ivories,Egg,Knock 2 / Moon 2 / Moth 4
January Sanguinary (Liquid),Knock,15,Surgeries & Exsanguinations,Glassfinger Toxin (Liquid),Heart 5 / Knock 3 / Sky 3
Chronsichord (Device),Knock,15,Glassblowing & Vesselcrafting,Gervinite (Material),Forge 3 / Knock 6 / Sky 3 / Winter 3
Chronsichord (Device),Knock,15,Lockworks & Clockworks,Gervinite (Material),Forge 3 / Knock 6 / Sky 3 / Winter 3
Chronsichord (Device),Knock,15,Preliminal Meter,Gervinite (Material),Forge 3 / Knock 6 / Sky 3 / Winter 3
Chronsichord (Device),Knock,15,The Great Signs and the Great Scars,Gervinite (Material),Forge 3 / Knock 6 / Sky 3 / Winter 3
Sacrament Ascite (Beverage),Knock,15,Glassblowing & Vesselcrafting,Glassfinger Toxin (Liquid),Knock 6
Sacrament Ascite (Beverage),Knock,15,Door & Wall,Glassfinger Toxin (Liquid),Knock 6
Sacrament Ascite (Beverage),Knock,15,Solutions & Separations,Glassfinger Toxin (Liquid),Knock 6
Sacrament Ascite (Beverage),Knock,15,Horns & Ivories,Glassfinger Toxin (Liquid),Knock 6
Sacrament Ascite (Beverage),Knock,15,Edicts Liminal,Glassfinger Toxin (Liquid),Knock 6
Chronsichord (Device),Knock,15,Glaziery & Lightsmithing,Gervinite (Material),Forge 3 / Knock 6 / Sky 3 / Winter 3
Refulgin (Material),Lantern,5,Purifications & Exaltations,,Lantern 2
Refulgin (Material),Lantern,5,Transformations & Liberations,,Lantern 2
Refulgin (Material),Lantern,5,Sacra Solis Invicti,,Lantern 2
Refulgin (Material),Lantern,5,Inks of Revelation,,Lantern 2
Dearday Lens (Device),Lantern,5,Glaziery & Lightsmithing,,Edge 1 / Forge 1 / Lantern 2 / Sky 2
Dearday Lens (Device),Lantern,5,Glassblowing & Vesselcrafting,,Edge 1 / Forge 1 / Lantern 2 / Sky 2
Dearday Lens (Device),Lantern,5,Pyroglyphics,,Edge 1 / Forge 1 / Lantern 2 / Sky 2
Dearday Lens (Device),Lantern,5,Disciplines of the Scar,,Edge 1 / Forge 1 / Lantern 2 / Sky 2
Tanglebrag (Material),Lantern,5,Watchman's Paradoxes,,Lantern 1 / Moth 2 / Nectar 1 / Scale 1
Eigengrau (Beverage),Lantern,5,Auroral Contemplations,,Moon 1 / Winter 1
Xanthotic Essence (Liquid),Lantern,10,Purifications & Exaltations,Liquid,Forge 2 / Knock 2 / Lantern 5
Xanthotic Essence (Liquid),Lantern,10,Transformations & Liberations,Liquid,Forge 2 / Knock 2 / Lantern 5
Xanthotic Essence (Liquid),Lantern,10,Auroral Contemplations,Liquid,Forge 2 / Knock 2 / Lantern 5
Xanthotic Essence (Liquid),Lantern,10,Pyroglyphics,Liquid,Forge 2 / Knock 2 / Lantern 5
Ichor Vitreous (Liquid),Lantern,10,Glassblowing & Vesselcrafting,Glass,Lantern 4
Ichor Vitreous (Liquid),Lantern,10,Watchman's Paradoxes,Glass,Lantern 4
Ichor Vitreous (Liquid),Lantern,10,Glaziery & Lightsmithing,Glass,Lantern 4
Ichor Vitreous (Liquid),Lantern,10,Sacra Solis Invicti,Glass,Lantern 4
Ichor Vitreous (Liquid),Lantern,10,Inks of Revelation,Glass,Lantern 4
Old Moment (Memory),Lantern,10,Disciplines of the Scar,Memory,Lantern 2 / Moth 2 / Scale 4
Uzult (Liquid),Lantern,15,Inks of Revelation,Xanthotic Essence (Liquid),Lantern 7 / Moth 7 / Sky 7
Uzult (Liquid),Lantern,15,Sacra Solis Invicti,Xanthotic Essence (Liquid),Lantern 7 / Moth 7 / Sky 7
"Ashartine (Liquid, Ink)",Lantern,15,Pyroglyphics,Ichor Vitreous (Liquid),Lantern 6 / Sky 2
"Ashartine (Liquid, Ink)",Lantern,15,Watchman's Paradoxes,Ichor Vitreous (Liquid),Lantern 6 / Sky 2
"Ashartine (Liquid, Ink)",Lantern,15,Glaziery & Lightsmithing,Ichor Vitreous (Liquid),Lantern 6 / Sky 2
Uzult (Liquid),Lantern,15,Watchman's Paradoxes,Xanthotic Essence (Liquid),Lantern 7 / Moth 7 / Sky 7
Porphyrine (Liquid),Lantern,15,Auroral Contemplations,Ichor Auroral (Liquid),Knock 7 / Moon 7 / Rose 7
Earthquake Name (Persistent Memory),Lantern,15,Disciplines of the Scar,Old Moment (Memory),Forge 3 / Scale 6
Uzult (Liquid),Lantern,15,Glaziery & Lightsmithing,Xanthotic Essence (Liquid),Lantern 7 / Moth 7 / Sky 7
Xanthotic Essence (Liquid),Lantern,15,Purifications & Exaltations,Bitterblack Salts (Material),Forge 2 / Knock 2 / Lantern 5
Xanthotic Essence (Liquid),Lantern,15,Purifications & Exaltations,Iotic Essence (Liquid),Forge 2 / Knock 2 / Lantern 5
"Ashartine (Liquid, Ink)",Lantern,15,Glassblowing & Vesselcrafting,Ichor Vitreous (Liquid),Lantern 6 / Sky 2
Uzult (Liquid),Lantern,15,Anbary & Lapidary,Xanthotic Essence (Liquid),Lantern 7 / Moth 7 / Sky 7
Midnight Mark (Mark),Moon,5,Sharps,,Moon 2 / Moth 1
Midnight Mark (Mark),Moon,5,Desires & Dissolutions,,Moon 2 / Moth 1
Midnight Mark (Mark),Moon,5,Snow Stories,,Moon 2 / Moth 1
Midnight Mark (Mark),Moon,5,Serpents & Venoms,,Moon 2 / Moth 1
Midnight Mark (Mark),Moon,5,Insects & Nectars,,Moon 2 / Moth 1
Midnight Mark (Mark),Moon,5,Wolf Stories,,Moon 2 / Moth 1
Midnight Mark (Mark),Moon,5,Rhyme & Remembrance,,Moon 2 / Moth 1
"Catwink (Liquid,Ink,Thing)",Moon,5,Inks of Containment,,Moon 2 / Scale 2
"Catwink (Liquid,Ink,Thing)",Moon,5,Sickle & Eclipse,,Moon 2 / Scale 2
"Catwink (Liquid,Ink,Thing)",Moon,5,Sand Stories,,Moon 2 / Scale 2
"Catwink (Liquid,Ink,Thing)",Moon,5,Putrefactions & Calcinations,,Moon 2 / Scale 2
"Catwink (Liquid,Ink,Thing)",Moon,5,Edicts Inviolable,,Moon 2 / Scale 2
Confounding Parable (Memory),Moon,5,Tridesma Hiera,,Moon 2 / Rose 2 / Sky 2
Salt-Sign (Mark),Moon,5,Sea Stories,,Moon 2 / Rose 2
Salt-Sign (Mark),Moon,5,Hill & Hollow,,Moon 2 / Rose 2
Bittersweet Certainty (Memory),Moon,5,Ouranoscopy,,Lantern 1 / Winter 2
Eigengrau (Beverage),Moon,5,Maggephene Mysteries,,Moon 1 / Winter 1
Eigengrau (Beverage),Moon,5,Pearl & Tide,,Moon 1 / Winter 1
Old Wound (Persistent Memory),Moon,5,Edicts Martial,,Edge 1 / Moon 2 / Winter 3
Stymphling (Carnivore),Moon,10,Rhyme & Remembrance,Egg,Moon 3 / Scale 3
Stymphling (Carnivore),Moon,10,Sand Stories,Egg,Moon 3 / Scale 3
Stymphling (Carnivore),Moon,10,Tridesma Hiera,Egg,Moon 3 / Scale 3
Stymphling (Carnivore),Moon,10,Snow Stories,Egg,Moon 3 / Scale 3
Stymphling (Carnivore),Moon,10,Serpents & Venoms,Egg,Moon 3 / Scale 3
Asimel (Liquid),Moon,10,Putrefactions & Calcinations,Liquid,Knock 3 / Moon 5
Asimel (Liquid),Moon,10,Sea Stories,Liquid,Knock 3 / Moon 5
Asimel (Liquid),Moon,10,Ouranoscopy,Lens,Knock 3 / Moon 5
Asimel (Liquid),Moon,10,Pearl & Tide,Liquid,Knock 3 / Moon 5
Chimeric Larva (Beast),Moon,10,Insects & Nectars,Egg,Knock 2 / Moon 2 / Moth 4
Chimeric Larva (Beast),Moon,10,Hill & Hollow,Egg,Knock 2 / Moon 2 / Moth 4
Pyrus Auricalcinus (Fruit),Moon,10,Desires & Dissolutions,Wood,Forge 4 / Nectar 4
Leathy (Beverage),Moon,10,Inks of Containment,Beverage,Grail 2 / Moth 4 / Nectar 2 / Scale 2
