Book,Aspect,Level,Memory,Memory Aspects,Lesson,Lessons,Lesson Aspects,Price,Language,Type,Period,Contaminated,Description
Kitling Ripe's Tasty Treats,Nectar,4,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Spices & Savours,1,Nectar / Forge,3,,,Baronial,5%,"The Velvet is the Hour of secrets; and so very little is known of the - Moth-long? Nectar-long? - who ascend to immortality under her auspices. But this book (by 'Kitling's Friend') purports to be part cook-book, and part manual for immortality."
The Most Sorrowful End of the Lady Nonna,Nectar,4,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Herbs & Infusions,1,Heart / Nectar,4,Henavek,,Solar,10%,"An unauthorised account of the death of Abbess Nonna, written by Eusebia, one of the two sisters accused of having murdered Nonna through 'poisoning and Arts unsanctioned.' Eusebia, awaiting execution, intends to hide this account in her cell..."
Honey: the Comprehensive Guide,Nectar,6,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Insects & Nectars,1,Nectar / Moon,1,,,Nocturnal,2%,"Harvey Hattington - pilot, polymath, confectioner - writes with great enthusiasm about the 'marvellous work of the Bee'."
The Shadow in the Stair,Nectar,6,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Coil & Chasm,1,Scale / Nectar,3,,,Baronial,5%,"Ernestine Peterhans records her conversations with the 'little darkness' in Hush House's Stair Tenebrous, which she calls 'Donkerling'."
Fekri's Herbary,Nectar,6,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Herbs & Infusions,1,Heart / Nectar,3,Aramaic,,Baronial,5%,"The early wisdom of Ehsan Fekri, at that point a travelling healer, much later the Secretary Salvant of the Curia of the Isle."
The Berrybook,Nectar,8,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Leaves & Thorns,2,Nectar / Grail,2,Killasimi,,Curia,5%,"Thirza Blake, seventh librarian of Hush House, talks about fruit. For no other apparent reason but that it was the kind of thing she did, she talks about fruit in the woven language Killasimi."
De Ratio Quercuum,Nectar,8,Earth-Sign,Nectar 2 / Scale 2,Lesson: Rites of the Roots,2,Nectar / Moth,2,Latin,,Curia,5%,"In English the title translates roughly as 'the Account of the Oaks'; but this is Nathaniel Darcy-Evers' fascinating, if haphazard, survey of the occult properties of every tree he can find, not just oaks."
The Bee-Keeper's Ends,Nectar,8,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Insects & Nectars,2,Nectar / Moon,3,,,Curia,5%,"Dialogues with bees and uses for honey, as erratically recorded by Ricardo Milagro, gardener of Hush House in Musgrave's time."
Green Jasper Tablet,Nectar,10,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Rites of the Roots,2,Nectar / Moth,5,Cracktrack,,Dawn,20%,Supposedly copied from a tablet of green jasper which serves as the Covenant-stone of the Monastery of the Fifth Cup - the token which gives that Library shelter beneath the Watchman's Tree.
The Writing on the Wall,Nectar,10,Numen: an Irresistible Feast,Edge 5 / Grail 5 / Nectar 5,Lesson: Spices & Savours,2,Nectar / Forge,8,Vak,Thing,Unknown,0%,"The most delicious traditions of the Carapace Cross, as recorded on the walls of the Mansus and transcribed into a book of ninety-nine pages by one known only as 'cc'. Although this book does not exist, it is read to a sleeper under certain very specific circumstances - and certain fragments jotted down on waking. [This 'book' houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
Serpent-Root,Nectar,10,Numen: Loopholes,Knock 5 / Moon 5 / Moth 5,Lesson: Rites of the Roots,2,Nectar / Moth,8,Cracktrack,Tablet,Unknown,0%,"A mass of root-stock, shiny with age but still somehow viable. Tiny spidery scratchings, marked with embedded egg-shell shards, encode a cryptic message. [This object houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
Cucurbit Prisoner Records 1927,Nectar,12,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Insects & Nectars,2,Nectar / Moon,1,,,Nocturnal,2%,"Accounts by Governor Collers' private secretary of interventions and experiments in the last years of the Cucurbit prison, focusing particularly on prisoners he believes might have Carapace Cross lineage."
Just Verse,Rose,6,Memory: Pattern,Forge 1 / Knock 2,Lesson: Preliminal Meter,1,Knock / Rose,1,,,Nocturnal,2%,"A rare surviving copy of Christopher Illopoly's notoriously unsuccessful volume of experimental poetry, published in 1912."
The Book of the Centipede,Rose,6,Memory: Intuition,Moon 2 / Rose 2,Lesson: Sand Stories,1,Rose / Moon,2,Greek,,Curia,5%,"In the mid 1860s one 'Madam Yi' presented an entertainment based, she claimed, on this book."
Letters from a Fugitive,Rose,6,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Path & Pilgrim,1,Rose / Scale,3,Phrygian,,Baronial,5%,"Lars Westergren, explorer and murderer, spent seven years escaping justice through his knowledge of byways and shortcuts in the Bounds. Throughout that time he wrote regularly to his daughter, possibly in part to taunt his pursuers."
The Concursum Diaries,Rose,8,Memory: Intuition,Moon 2 / Rose 2,Lesson: Path & Pilgrim,2,Rose / Scale,5,Phrygian,,Dawn,20%,"The diaries of the explorer and murderer Lars Westergren. He's unhelpfully translated them into Phrygian, for privacy."
The Radical Measure,Rose,10,Memory: Pattern,Forge 1 / Knock 2,Lesson: Preliminal Meter,2,Knock / Rose,2,,,Curia,5%,"Manifesto for experimental and dangerous-sounding invocatory poetry, written some time in the nineteenth century by Dr Arun Peel. A notoriously inconsistent and incoherent text, apparently produced in a tearing hurry."
Book of Miah,Rose,10,Memory: Intuition,Moon 2 / Rose 2,Lesson: Sand Stories,2,Rose / Moon,5,Hyksos,,Dawn,20%,An account of the 'five visits of the Desert Wanderer' - probably the Hour called the Vagabond - to the city Miah. She begins as a delighted child - perhaps even a mortal - but things then go badly�
The Turquoise Hand,Rose,10,Numen: That Old Lost Music,Rose 5 / Scale 5 / Sky 5,Lesson: Pentiments & Precursors,2,Scale / Grail,8,Ramsund,,Unknown,0%,A calligraphic manual of Ramsund which employs as exemplar-text Farid ud-Din's 'Conference of the Birds'. [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]
The Radical Measure (Glossed),Rose,12,Memory: Pattern,Forge 1 / Knock 2,Lesson: Preliminal Meter,2,Knock / Rose,1,,,Curia,5%,"The original 'Radical Measures' was a manifesto for experimental poetry with occult properties, written in the nineteenth century by Dr Arun Peel. The original is notoriously incoherent - much later, Christopher Illopoly took on the task of editing and glossing it. He has taken some liberties, but the updated version is generally well regarded."
The Red Book of Brittany,Rose,12,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Inks of Power,2,Rose / Scale,4,,,Solar,10%,"A volume of ink-lore gifted to St Brandan's by Brian of Brittany, who was made Earl of Cornwall after the Norman Conquest."
A Novel Method for Invocation & Contrition,Rose,14,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Preliminal Meter,2,Knock / Rose,2,Ericapaean,,Curia,5%,"Ingenious and rather beautiful techniques for entreating the Names of the Hours, developed by Rory Morrow, who styled himself 'the Sage-Knight'."
The History of Inks,Rose,14,Memory: Intuition,Moon 2 / Rose 2,Lesson: Inks of Power,2,Rose / Scale,4,,,Solar,10%,"A legendary grimoire of exotic ink-making lore. The cover and some of the pages, unfortunately are stained and crusted with something more like mucus than ink."
Isaac of Karth's History of the Shadowless Kings,Rose,14,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Sand Stories,2,Rose / Moon,5,Aramaic,,Dawn,20%,"A True and Accurate History of the Shadowless Kings, by Isaac of Karth.' Isaac describes the thousand-year ascendancy of the Shadowless Empire."
Where Has She Gone?,Rose,16,Memory: Intuition,Moon 2 / Rose 2,Lesson: Sand Stories,3,Rose / Moon,5,Vak,,Dawn,20%,"The Speeth' - perhaps a single adept, perhaps a council of scholars - hypothesises secret events from limited evidence with persuasive accuracy."
A Tower Rises,Rose,18,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Preliminal Meter,3,Knock / Rose,1,Vak,Record,Nocturnal,2%,"The phonograph is packaged in glossy card the bright pink of a dog-rose, with the words A TOWER RISES in nine languages on both sides. There is no other identifying information at all."
The Queens of the Rivers,Scale,4,Memory: Gossip,Grail 1 / Rose 2,Lesson: Path & Pilgrim,1,Rose / Scale,1,,,Nocturnal,2%,"A surreal contemporary play by the enigmatic Monica Medina, in which the Queens of the Rivers are murdered, one by one."
Recordings from the Althiban Abyss,Scale,4,Memory: Fear,Edge 1 / Scale 2,Lesson: Stone Stories,1,Scale / Nectar,1,Mandaic,Record,Nocturnal,2%,Recordings from a subterranean space in the mountains near Baghdad of 'conversations' between the entomologist Juliana Zawistowski and an unidentified presence.
Stolen Histories,Scale,4,Memory: Fear,Edge 1 / Scale 2,Lesson: Coil & Chasm,1,Scale / Nectar,3,,,Baronial,5%,"The agitator and pamphleteer Alexander Sparrow inveighs against the 'monstrous Serpents, Thieves of History.'"
One Hundred And Eight,Scale,4,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Pentiments & Precursors,1,Scale / Grail,3,,,Baronial,5%,"Eva Dewulf discurses on the Fifth History, and particularly on those who are said to have 'passed over' from it - the Great Hooded Princes, the Knock-long who ascended under the Mother of Ants but now (so Eva claims) honour the Horned-Axe."
Key of Night,Scale,6,Memory: Fear,Edge 1 / Scale 2,Lesson: Pentiments & Precursors,1,Scale / Grail,1,,,Curia,5%,"The deliberations leading to a manifesto of the 'Worms of a Scale', as recorded around 1900 in the Bar Vienna, in the cellar of the Hotel Ciervo in Noon."
Singlefoot Songs,Scale,6,Savage Hymn,Scale 2 / Sky 2,Lesson: Hill & Hollow,1,Moon / Scale,1,,,Nocturnal,2%,"Father Stanislav John Schaller, priest and diplomat, writes of his time on the slopes of Huashan - 'near to the Grove of the Green Immortals, but never too near.'"
The Encircling Tantra,Scale,6,Memory: Fear,Edge 1 / Scale 2,Lesson: Horns & Ivories,1,Scale / Knock,2,Sanskrit,,Curia,5%,The explorer and entrepreneur T. Everett Duplantis once attempted to plunder the temple where this text was held. His fate is recorded in an appendix.
The Republic of Teeth,Scale,6,Memory: Intuition,Moon 2 / Rose 2,Lesson: Serpents & Venoms,1,Scale / Moon,3,,,Baronial,5%,An eccentric political tract by Valentine Dewulf.
The Tantra of Worms,Scale,8,Memory: Fear,Edge 1 / Scale 2,Lesson: Coil & Chasm,2,Scale / Nectar,1,Sanskrit,,Nocturnal,2%,The entomologist Juliana Zawistowski eventually came to insist that this text was written by insects inhabiting a human skin. She never presented evidence for her claim. There are diagrams. The diagrams are not good to look upon.
Hunting Journals of Bryan Dewulf,Scale,8,Memory: Fear,Edge 1 / Scale 2,Lesson: Furs & Feathers,2,Sky / Scale,2,,,Curia,5%,"Bryan Dewulf, the son of the 3rd Baron Brancrug, gives advice on hunting in the Bounds."
It Is Written,Scale,8,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Inks of Power,2,Rose / Scale,3,,,Baronial,5%,"Musgrave, fourth of the Dewulf line, writes tentatively about the 'Covenant of Brancrug' and the legacy of the sacred inks he calls 'encausta potentialia'."
Ascite Supplications,Scale,8,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Stone Stories,2,Scale / Nectar,4,Greek,,Solar,10%,Prayers addressed to the Horned-Axe by the Sisterhood of the Triple Knot.
The Hissing Key,Scale,8,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Serpents & Venoms,2,Scale / Moon,5,Greek,,Curia,5%,"An account of the ascent of the Hour called the Mother of Ants, by the Bosk-scholar Mek, of the Theban branch of the House of Lethe."
Ud Rocashaas,Scale,10,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Stone Stories,2,Scale / Nectar,4,Henavek,,Solar,10%,An anonymous confessional account of unsanctioned activities by the nuns of St Brandan's. The title is a Henavek phrase that might be translated as 'the spirit flees the shadowed places.'
Cucurbit Prisoner Records 1928,Scale,12,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Hill & Hollow,2,Moon / Scale,1,,,Nocturnal,2%,"Accounts by Governor Collers' private secretary of interventions and experiments in the last years of the Cucurbit prison, focusing particularly on the 'hill-children', wild Wood-things that have found a shape in the physical world."
Medusa's Lament,Scale,14,Memory: Fear,Edge 1 / Scale 2,Lesson: Horns & Ivories,2,Scale / Knock,4,Greek,,Solar,10%,"On the death of the Hour called Seven-Coils, 'the Father of the Mother'."
Echidnalia,Scale,21,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Stone Stories,3,Scale / Nectar,2,Cracktrack,Infinite,Curia,5%,"Part genealogy, part taxonomy, part family gossip - a closely detailed, highly specialised account of one branch of the complex brood of children associated with the Ligeian Echidna."
The Locksmith's Dream: Stolen Reflections,Sky,4,Memory: Revelation,Lantern 2,Lesson: Watchman's Paradoxes,1,Lantern / Sky,1,,,Nocturnal,2%,"The fourth volume of Teresa Galmier's expansive work - no longer a discussion of the dreams of artisans, but a valuable survey of other works. The tone is calmer than that of 'Trespasses', but occasionally fearful, even paranoid. This volume was published in 1926 but almost immediately recalled and pulped by the publisher - at the request of the author or possibly the authorities, depending which story you believe. A few copies survive."
The Locksmith's Dream: Portions and Proportions,Sky,4,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Lockworks & Clockworks,1,Knock / Sky,1,,,Nocturnal,2%,The second volume of Teresa Galmier's examination of parallels in the mystic dreams of artisans. The frontispiece has been slashed with a razor.
Perugian Diaries,Sky,4,Cheerful Ditty,Heart 2 / Sky 1,Lesson: Strings & Songs,1,Sky / Heart,1,,,Nocturnal,2%,"In 1907, at the age of eighteen, Christopher Illopoly left Strathcoyne's household to study theology at the University of Perugia in Italy, enrolling under the name 'Christopher Strathcoyne'."
The Humours of a Gentleman,Sky,4,Memory: Gossip,Grail 1 / Rose 2,Lesson: Sky Stories,1,Sky / Rose,3,,,Baronial,5%,"Samuel Savage's satirical comedy, on the intrigues of the ailing, but cunning John Sonne, his mistress Maevelin, her lover Leo, and the upstart Corvino."
Journal of Thomas Dewulf,Sky,4,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Ouranoscopy,1,Sky / Moon,3,,,Baronial,5%,"Thomas Dewulf, 2nd Baron Brancrug, was nicknamed 'Baron Silence of Castle Silence' for his taciturn severity - most likely the origin, eventually, of the name 'Hush House'."
Seven Faces of Icarus,Sky,4,Memory: Fear,Edge 1 / Scale 2,Lesson: Furs & Feathers,1,Sky / Scale,3,,,Baronial,5%,"In the early 1530s, the last Abbot of St Brandan's, called 'Roaring Richard', set down his conversations with the illiterate local cunning-man, Red William."
"Travelling at Night, vol 2",Sky,6,Memory: Solace,Heart 2 / Sky 1,Lesson: Sights & Sensations,1,Sky / Winter,1,,,Nocturnal,2%,"The annotated dream-journals of Christopher Illopoly, sometimes called 'the only readable occultist': literate, entertaining, bewildering."
Against the Sisterhood of the Knot and the Foulness of their Depraved Customs,Sky,6,Memory: Intuition,Moon 2 / Rose 2,Lesson: Sky Stories,1,Sky / Rose,2,Greek,,Curia,5%,Hieronymus Pseudo-Hypnerotomachus wrote this furious screed about the sinister influence of the Sisterhood of the Knot on his own Church of the Unconquered Sun.
The Fallen Cross,Sky,6,Memory: Regret,Forge 1 / Winter 2,Lesson: Ouranoscopy,1,Sky / Moon,3,,,Baronial,5%,"In which Julian Coseley, magus, immortal, occasional anarchist, argues that through language the Carapace Cross decayed to seed the lives of our ancestors."
On What is Contained By Silver,Sky,6,Memory: Pattern,Forge 1 / Knock 2,Lesson: Glassblowing & Vesselcrafting,1,Knock / Sky,3,Greek,,Baronial,5%,A dire bestiary of the horrors to be found in mirrors. This is a recent edition of a third century text by 'Poemander'.
A True History of Valentine Dewulf,Sky,6,Memory: Fear,Edge 1 / Scale 2,Lesson: Furs & Feathers,1,Sky / Scale,3,,,Baronial,5%,"Written in the third person by Valentine Dewulf. Rarely coherent, though it includes some useful footnotes on falconry and on exotic veterinary medicine."
On Resonance,Sky,6,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Bells & Brazieries,1,Forge / Sky,3,,,Baronial,5%,Experiments in ithastry by the 'sky-smith' Everett Vinzant.
Eva's Treasury,Sky,6,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Anbary & Lapidary,1,Sky / Forge,3,,,Baronial,5%,"Eva Dewulf, last of the Brancrugs, discusses the occult and aesthetic properties of jewels and other precious minerals."
Against Vitruvius,Sky,6,Memory: Pattern,Forge 1 / Knock 2,Lesson: Lockworks & Clockworks,1,Knock / Sky,4,,,Solar,10%,"A fourteenth-century treatise on esoteric mechanics and parahydraulics by Abbot Ranulph, best known now as a mason-architect."
A Seventh Voice,Sky,8,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Preliminal Meter,2,Knock / Rose,3,,,Baronial,5%,Samuel Savage's cycle of comic poems about a band of players who double as footpads seeking a seventh member.
Damascene Traditions of the House of Lethe,Sky,8,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Sacra Limiae,2,Moth / Sky,4,,,Solar,10%,"The House of Lethe was an order of immortals who sought obscurity, rejecting their past and future. If the author of this short text is to be believed, the initiates of the Damascene branch were much more radical than their fellows elsewhere."
Opening the Sky,Sky,10,Cheerful Ditty,Heart 2 / Sky 1,Lesson: Strings & Songs,2,Sky / Heart,1,,Record,Nocturnal,2%,"An unusual recording of Verro's 'Opening the Sky', composed for the coronation of the New King, Henry IX. The record bears the Suppression stamp EXPUNGE."
De motu corporum vetitorum,Sky,10,Memory: Storm,Heart 2 / Sky 2,Lesson: Ouranoscopy,2,Sky / Moon,2,,,Curia,5%,"The author rejoices in the name of 'Abelard Hubris', and the title might be translated as 'On the Forbidden Motions of Bodies' - evidently a reference to Newton's 'De Motu Corporem', published some twenty years previously."
Sunset Celia and the End of Days,Sky,10,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Sacra Limiae,2,Moth / Sky,2,,,Curia,5%,"An Obliviate adept identified only as 'the Emiliano' rants desperately about the part Sunset Celia played in the Intercalate, as 'the proxy of the Sun'."
The Other Eye of the Serpent,Sky,10,Memory: Pattern,Forge 1 / Knock 2,Lesson: Anbary & Lapidary,2,Sky / Forge,4,,,Solar,10%,In which the heresiarch Cygnifer attempts to resolve certain mysteries of Lightning.
Shuritic Book of Suns,Sky,10,Numen: the Great Counterfeit,Lantern 5 / Moon 5 / Nectar 5,Lesson: Sacra Solis Invicti,2,Lantern / Sky,8,Mandaic,Scroll,Unknown,0%,"A radically different text from any of the other versions of the Book of Suns, attributed to Hagar, Queen of Shur, Mother of Wolves. [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
The Invisible Opera (Unfinished Recording),Sky,12,Cheerful Ditty,Heart 2 / Sky 1,Lesson: Strings & Songs,2,Sky / Heart,1,,Record,Nocturnal,2%,"A recording of a 1911 attempt at a performance of 'Wings within Wings', the so-called Invisible Opera."
The Mirror of Melancthe,Sky,12,Memory: Solace,Heart 2 / Sky 1,Lesson: Sights & Sensations,2,Sky / Winter,4,,,Solar,10%,"The day-book and dream-journal of Abbess Melancthe, venerated as a saint and respected as an alchemist."
The Lion and the Glass,Sky,12,Memory: Revelation,Lantern 2,Lesson: Glaziery & Lightsmithing,2,Lantern / Sky,5,Mandaic,,Dawn,20%,"An early work by Omar the Blaze, a novice or apprentice at the Labyrinth of Lions."
Each Flame His Fuel,Sky,14,Memory: Revelation,Lantern 2,Lesson: Glaziery & Lightsmithing,2,Lantern / Sky,5,Mandaic,,Dawn,20%,"A work by Omar, the Blaze, an initiate or craftsmaster at the Labyrinth of Lions."
The Book of the White Cat,Sky,16,Memory: Revelation,Lantern 2,Lesson: Watchman's Paradoxes,3,Lantern / Sky,5,Phrygian,,Dawn,20%,Stories brought by a blind white cat to Penelope of Gordion.
The Focus of Amber,Sky,16,Memory: Revelation,Lantern 2,Lesson: Glaziery & Lightsmithing,3,Lantern / Sky,5,Mandaic,,Dawn,20%,"Omar, the Blaze, spent seven years manning a lighthouse in Tyre, in atonement for the extinguishing of a sacred flame. By the end of his stint, he was so terrified of fire that he could not stand to share a room with a candle. This work was written in partial penance."
The Origins of Hours,Sky,16,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Sacra Limiae,3,Moth / Sky,5,Vak,,Dawn,20%,"The sage and ecstatic Soham, a frequent visitor to the Mansus, claimed to have discoursed with the Beachcrow in person. Soham later insisted on a sky-burial."
In The Mountains As Upon The Plain There May Not Be A Path Where None Has Passed,Sky,18,Memory: Gossip,Grail 1 / Rose 2,Lesson: Sky Stories,3,Sky / Rose,5,Vak,,Dawn,20%,Ninegala of Lagash describes the secrets to be found in mountains.
An Introduction to Histories,Winter,4,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Snow Stories,1,Winter / Moon,3,,,Baronial,5%,The seventeenth-century mystic and antiquarian Claude Hersault describes divergent incidents in five major Histories.
Lady Eva's Repose,Winter,4,Memory: Regret,Forge 1 / Winter 2,Lesson: Rhyme & Remembrance,1,Winter / Moon,3,,,Baronial,5%,"A 'meditation' on the drowning of Lady Eva Dewulf and her two grandchildren, written in the years when the estate was abandoned by Father Theo, once the Dewulf family chaplain, one of the few to remain on the Isle in those desolate years."
Annals of St Brandans,Winter,4,Memory: Regret,Forge 1 / Winter 2,Lesson: Inks of Containment,1,Winter / Moon,4,Latin,,Solar,10%,"Over a hundred years of the abbey's annals, from 1230 to 1350."
The Five Letters On Memory,Winter,6,Memory: Regret,Forge 1 / Winter 2,Lesson: Rhyme & Remembrance,1,Winter / Moon,2,,,Curia,5%,"Julian Coseley's epistolary treatise on 'matters memorial and mnemonic', addressed to his then-friend Claude Hersault, the mystic and antiquarian."
On the White,Winter,6,Memory: Regret,Forge 1 / Winter 2,Lesson: Quenchings & Quellings,1,Winter / Heart,2,,,Curia,5%,"Solomon Husher writes, perhaps allegorically, of Winter, and its long slow doomed romance with the Sun. The epigraph is 'Sunset at Noon'."
Oblations in Iron,Winter,6,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Inks of Containment,1,Winter / Moon,2,,,Curia,5%,"A Monster-hunting initiate of the Hour named the Colonel, who identifies herself as 'Little Sophia', records the exhibits she has rendered to the Worm Museum in the Mansus."
Chione at Abydos,Winter,6,Memory: Regret,Forge 1 / Winter 2,Lesson: Snow Stories,1,Winter / Moon,3,,,Baronial,5%,"A play dealing with the nine-year sojourn of a snow-goddess in the Thracian city of Abydos, by 'Apollo Fireweaver'. In English, published in 1892; purportedly from an older Greek text."
Those Indignities Perpetrated By the Deceitful Fraternity of Obliviates,Winter,6,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Ragged Crossroads,1,Edge / Winter,3,Latin,,Baronial,5%,"It's not clear whether 'C.R.O.D', who is identified only by his initials, was in fact an initiate of the Obliviate order of immortal adepts. He wrote in the sixteenth century, after the order - if he is to be believed - had passed the height of its power."
Musgrave's Sketches,Winter,8,Bittersweet Certainty,Lantern 1 / Winter 2,Lesson: Sights & Sensations,2,Sky / Winter,2,,,Curia,5%,"Musgrave, 4th Baron Brancrug, was widely mocked as 'the Bleating Baron' and 'the Lamb Dewulf', but these sketches reveal a complex, sombre inner life."
Exercises in the Continuity of Self,Winter,8,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Rhyme & Remembrance,2,Winter / Moon,2,,,Curia,5%,Techniques proposed by the Haustorium - the most inaccessible and upsetting of the libraries of the Watchman's Tree - for 'the persistence of memory after the body is discarded'.
Operations of a Certain Finality,Winter,8,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Putrefactions & Calcinations,2,Winter / Moon,2,,,Curia,5%,"Subtitled 'The Hammer's Sundering'. The work of an anonymous adept who violently despised the Invisible Serapeum, the library of the Watchman's Tree in Alexandria."
Ettery After,Winter,8,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Inks of Containment,2,Winter / Moon,3,,,Baronial,5%,"An anonymous erotic novel occasionally claimed to have been written by Eva Dewulf, although at least two duels were fought in her honour to avenge this slander."
The Ivory Book,Winter,8,Memory: Regret,Forge 1 / Winter 2,Lesson: Quenchings & Quellings,2,Winter / Heart,5,Fucine,,Dawn,20%,"A manual of the Ordo Limiae, an order of quasi-immortals who maintained a secret enclave at the source of the river Limia, in the Roman province of Hispania Gallaecia. This manual was compiled by one Kurenai, who claims to have fled 'the tyranny of the Chrysanthemum Throne' to cross the world and join the Ordo."
The Barrowchild's Elegies,Winter,10,Memory: Regret,Forge 1 / Winter 2,Lesson: Rhyme & Remembrance,2,Winter / Moon,3,Latin,,Baronial,5%,"The Barrowchild, a Gaulish adept who won a place in the ranks of the Ordo Limiae, enumerates the 'great shadows' laid to rest in tombs of power, and discusses their various conditions."
The World Does Not Weep,Winter,10,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Putrefactions & Calcinations,2,Winter / Moon,4,Aramaic,,Solar,10%,Brown' Joshua found this in a well in Hamath. There's an unlikely story that it was abandoned by Alexander during his retreat from Issus.
The White Book of Brittany,Winter,10,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Ragged Crossroads,2,Edge / Winter,4,,,Solar,10%,"A volume of death-lore gifted to St Brandan's by Brian of Brittany, who was made Earl of Cornwall after the Norman Conquest."
"Nyn's Cages (Bruges Text, Illuminated)",Winter,10,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Quenchings & Quellings,2,Winter / Heart,4,Ericapaean,,Solar,10%,"The 'merciful measures' of the witch Nyn. This is only a partial version of the original, but it contains illustrations by Nyn's pupil, Mabelie of Bruges, which supplement the original."
Towards a Fundamental Aesthetic: Second Edition,Winter,10,Numen: a Final Understanding,Rose 5 / Sky 5 / Winter 5,Lesson: Sights & Sensations,2,Sky / Winter,8,Ericapaean,,Unknown,0%,"Or, 'The Refinements of Light'. Julian Coseley had never wanted or expected to write a second edition of his masterwork... [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
A Second Glory,Winter,12,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Snow Stories,2,Winter / Moon,4,Mandaic,,Solar,10%,"The priest Juceh celebrates the extirpation of the Gods-who-were-stone, those Hours who preceded humanity."
In Memory of Gods,Winter,12,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Ragged Crossroads,2,Edge / Winter,5,Fucine,,Dawn,20%,"The 'Barrowchild', a nameless Gaulish adept who joined an organisation identified as the Ordo Limiae, writes regretfully of the destruction of the gods-who-were-stone - the Hours who preceded humanity."
The Scar in the Sky,Winter,14,Memory: Regret,Forge 1 / Winter 2,Lesson: Quenchings & Quellings,2,Winter / Heart,5,Fucine,,Dawn,20%,"Nyn wrote this, and came to regret it."
Naenian Sketches,Winter,21,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Sights & Sensations,3,Sky / Winter,1,Sabazine,Infinite,Nocturnal,2%,"Travelogues and studies exchanged by raggies and ghouls - that is, the Long who've ascended under the patronage of the Sun-in-Rags and those who won the attention of the Elegiast."