Item,Aspect,Level,Required Skill,Extra Requirement,Result,Result Aspects
Labhitic Tincture,Edge,5,Edicts Martial,,Labhitic Tincture (Material),Edge 2 / Lantern 1
Labhitic Tincture,Edge,5,Disciplines of the Hammer,,Labhitic Tincture (Material),Edge 2 / Lantern 1
Labhitic Tincture,Edge,5,Ragged Crossroads,,Labhitic Tincture (Material),Edge 2 / Lantern 1
Labhitic Tincture,Edge,5,Sickle & Eclipse,,Labhitic Tincture (Material),Edge 2 / Lantern 1
Torgue's Cleansing,Edge,5,Disciplines of the Scar,,Torgue's Cleansing (Memory),Edge 2
Torgue's Cleansing,Edge,5,Auroral Contemplations,,Torgue's Cleansing (Memory),Edge 2
Torgue's Cleansing,Edge,5,Sharps,,Torgue's Cleansing (Memory),Edge 2
Torgue's Cleansing,Edge,5,Meniscate Reflections,,Torgue's Cleansing (Memory),Edge 2
Perinculate,Edge,10,Disciplines of the Scar,Leaf,Perinculate (Liquid),Edge 4 / Scale 4
Perinculate,Edge,10,Edicts Martial,Leaf,Perinculate (Liquid),Edge 4 / Scale 4
Perinculate,Edge,10,Sickle & Eclipse,Leaf,Perinculate (Liquid),Edge 4 / Scale 4
Winning Move,Edge,10,Disciplines of the Hammer,Memory,Winning Move (Memory),Edge 3
Winning Move,Edge,10,Auroral Contemplations,Memory,Winning Move (Memory),Edge 3
Winning Move,Edge,10,Meniscate Reflections,Memory,Winning Move (Memory),Edge 3
Winning Move,Edge,10,Sharps,Memory,Winning Move (Memory),Edge 3
Winning Move,Edge,10,Ragged Crossroads,Memory,Winning Move (Memory),Edge 3
Serpent-Milk,Edge,15,Sickle & Eclipse,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Serpent-Milk,Edge,15,Sharps,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Serpent-Milk,Edge,15,Meniscate Reflections,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Serpent-Milk,Edge,15,Disciplines of the Scar,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Invincible Audacity,Edge,15,Disciplines of the Hammer,Winning Move (Memory),Invincible Audacity (Persistent Memory),Edge 6 / Forge 3 / Lantern 3
Invincible Audacity,Edge,15,Edicts Martial,Winning Move (Memory),Invincible Audacity (Persistent Memory),Edge 6 / Forge 3 / Lantern 3
Invincible Audacity,Edge,15,Auroral Contemplations,Winning Move (Memory),Invincible Audacity (Persistent Memory),Edge 6 / Forge 3 / Lantern 3
Bitterblack Salts,Forge,5,Bells & Brazieries,,Bitterblack Salts (Material),Forge 1
Bitterblack Salts,Forge,5,Transformations & Liberations,,Bitterblack Salts (Material),Forge 1
Bitterblack Salts,Forge,5,Disciplines of the Hammer,,Bitterblack Salts (Material),Forge 1
Bitterblack Salts,Forge,5,Door & Wall,,Bitterblack Salts (Material),Forge 1
Bitterblack Salts,Forge,5,Anbary & Lapidary,,Bitterblack Salts (Material),Forge 1
Westcott's Compounds,Forge,5,Pyroglyphics,,Westcott's Compounds (Material),Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds,Forge,5,Meniscate Reflections,,Westcott's Compounds (Material),Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds,Forge,5,Spices & Savours,,Westcott's Compounds (Material),Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Iotic Essence,Forge,10,Transformations & Liberations,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,10,Anbary & Lapidary,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,10,Pyroglyphics,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,10,Spices & Savours,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,10,Meniscate Reflections,Liquid,Iotic Essence (Liquid),Forge 5 / Lantern 3
Wire (Orichalcum),Forge,10,Bells & Brazieries,Metal,Wire (Orichalcum) (Material),Forge 4 / Lantern 1
Wire (Orichalcum),Forge,10,Door & Wall,Metal,Wire (Orichalcum) (Material),Forge 4 / Lantern 1
Wire (Orichalcum),Forge,10,Disciplines of the Hammer,Metal,Wire (Orichalcum) (Material),Forge 4 / Lantern 1
Orpiment Exultant,Forge,15,Transformations & Liberations,Iotic Essence (Liquid),Orpiment Exultant (Liquid),Forge 7 / Heart 7 / Sky 7
Orpiment Exultant,Forge,15,Inks of Power,Iotic Essence (Liquid),Orpiment Exultant (Liquid),Forge 7 / Heart 7 / Sky 7
Orpiment Exultant,Forge,15,Anbary & Lapidary,Iotic Essence (Liquid),Orpiment Exultant (Liquid),Forge 7 / Heart 7 / Sky 7
Azoth,Forge,15,Pyroglyphics,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Bells & Brazieries,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Meniscate Reflections,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Purifications & Exaltations,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Disciplines of the Hammer,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Door & Wall,Wire (Orichalcum) (Material),Azoth (Liquid),Forge 2 / Knock 6
Azoth,Forge,15,Spices & Savours,Honeyscar Jasmine (Flower),Azoth (Liquid),Forge 2 / Knock 6
Iotic Essence,Forge,15,Transformations & Liberations,Bitterblack Salts (Material),Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,15,Meniscate Reflections,Bitterblack Salts (Material),Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,15,Disciplines of the Hammer,Bitterblack Salts (Material),Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,15,Transformations & Liberations,Xanthotic Essence (Liquid),Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,15,Meniscate Reflections,Xanthotic Essence (Liquid),Iotic Essence (Liquid),Forge 5 / Lantern 3
Iotic Essence,Forge,15,Disciplines of the Hammer,Xanthotic Essence (Liquid),Iotic Essence (Liquid),Forge 5 / Lantern 3
Beguiling Melody,Grail,5,Applebright Euphonies,,Beguiling Melody (Memory),Grail 2 / Sky 2
Beguiling Melody,Grail,5,Resurgences & Emergences,,Beguiling Melody (Memory),Grail 2 / Sky 2
Beguiling Melody,Grail,5,Pentiments & Precursors,,Beguiling Melody (Memory),Grail 2 / Sky 2
Beguiling Melody,Grail,5,Tridesma Hiera,,Beguiling Melody (Memory),Grail 2 / Sky 2
Witching Tisane,Grail,5,Orchids & Narcotics,,Witching Tisane (Beverage),Grail 2 / Heart 1
Witching Tisane,Grail,5,Leaves & Thorns,,Witching Tisane (Beverage),Grail 2 / Heart 1
Witching Tisane,Grail,5,Desires & Dissolutions,,Witching Tisane (Beverage),Grail 2 / Heart 1
Witching Tisane,Grail,5,The Great Signs and the Great Scars,,Witching Tisane (Beverage),Grail 2 / Heart 1
Witching Tisane,Grail,5,Sea Stories,,Witching Tisane (Beverage),Grail 2 / Heart 1
Rubywise Ruin,Grail,10,Desires & Dissolutions,Flower,Rubywise Ruin (Beverage),Grail 4 / Heart 2 / Moth 2 / Nectar 2 / Rose 2
Rubywise Ruin,Grail,10,Orchids & Narcotics,Flower,Rubywise Ruin (Beverage),Grail 4 / Heart 2 / Moth 2 / Nectar 2 / Rose 2
Rubywise Ruin,Grail,10,Applebright Euphonies,Flower,Rubywise Ruin (Beverage),Grail 4 / Heart 2 / Moth 2 / Nectar 2 / Rose 2
Rubywise Ruin,Grail,10,Leaves & Thorns,Flower,Rubywise Ruin (Beverage),Grail 4 / Heart 2 / Moth 2 / Nectar 2 / Rose 2
Pale Mommet,Grail,10,Sea Stories,Fabric,Pale Mommet (Device),Grail 4 / Heart 2 / Moth 2
Pale Mommet,Grail,10,Pentiments & Precursors,Fabric,Pale Mommet (Device),Grail 4 / Heart 2 / Moth 2
Pale Mommet,Grail,10,Resurgences & Emergences,Fabric,Pale Mommet (Device),Grail 4 / Heart 2 / Moth 2
Pale Mommet,Grail,10,The Great Signs and the Great Scars,Fabric,Pale Mommet (Device),Grail 4 / Heart 2 / Moth 2
Pale Mommet,Grail,10,Tridesma Hiera,Fabric,Pale Mommet (Device),Grail 4 / Heart 2 / Moth 2
Sacrament Calicite,Grail,15,Orchids & Narcotics,Rubywise Ruin (Beverage),Sacrament Calicite (Beverage),Grail 6
Sacrament Calicite,Grail,15,Applebright Euphonies,Rubywise Ruin (Beverage),Sacrament Calicite (Beverage),Grail 6
Sacrament Calicite,Grail,15,Leaves & Thorns,Rubywise Ruin (Beverage),Sacrament Calicite (Beverage),Grail 6
Sacrament Calicite,Grail,15,Sea Stories,Rubywise Ruin (Beverage),Sacrament Calicite (Beverage),Grail 6
Sacrament Calicite,Grail,15,Tridesma Hiera,Rubywise Ruin (Beverage),Sacrament Calicite (Beverage),Grail 6
Flushed Mommet,Grail,15,Resurgences & Emergences,Pale Mommet (Device),Flushed Mommet (Device),Grail 6 / Heart 3 / Moth 3
Flushed Mommet,Grail,15,Furs & Feathers,Pale Mommet (Device),Flushed Mommet (Device),Grail 6 / Heart 3 / Moth 3
Flushed Mommet,Grail,15,The Great Signs and the Great Scars,Pale Mommet (Device),Flushed Mommet (Device),Grail 6 / Heart 3 / Moth 3
Flushed Mommet,Grail,15,Pentiments & Precursors,Pale Mommet (Device),Flushed Mommet (Device),Grail 6 / Heart 3 / Moth 3
Flushed Mommet,Grail,15,Desires & Dissolutions,Pale Mommet (Device),Flushed Mommet (Device),Grail 6 / Heart 3 / Moth 3
Cheerful Ditty,Heart,5,Strings & Songs,,Cheerful Ditty (Memory),Heart 2 / Sky 1
Cheerful Ditty,Heart,5,Drums & Dances,,Cheerful Ditty (Memory),Heart 2 / Sky 1
Perhibiate,Heart,5,Stitching & Binding,,Perhibiate (Liquid),Heart 2 / Lantern 2 / Scale 2 / Winter 1
Perhibiate,Heart,5,Weaving & Knotworking,,Perhibiate (Liquid),Heart 2 / Lantern 2 / Scale 2 / Winter 1
Regensburg Balm,Heart,5,Herbs & Infusions,,Regensburg Balm (Liquid),Heart 2 / Nectar 2
Regensburg Balm,Heart,5,Quenchings & Quellings,,Regensburg Balm (Liquid),Heart 2 / Nectar 2
Regensburg Balm,Heart,5,Surgeries & Exsanguinations,,Regensburg Balm (Liquid),Heart 2 / Nectar 2
Regensburg Balm,Heart,5,Maggephene Mysteries,,Regensburg Balm (Liquid),Heart 2 / Nectar 2
Regensburg Balm,Heart,5,Edicts Inviolable,,Regensburg Balm (Liquid),Heart 2 / Nectar 2
Frith-Weft,Heart,10,Weaving & Knotworking,Fabric,Frith-Weft (Fabric),Heart 3
Frith-Weft,Heart,10,Stitching & Binding,Fabric,Frith-Weft (Fabric),Heart 3
Gideon's Soaks,Heart,10,Quenchings & Quellings,Liquid,Gideon's Soaks (Liquid),Forge 2 / Heart 4 / Nectar 3 / Winter 2
Gideon's Soaks,Heart,10,Edicts Inviolable,Liquid,Gideon's Soaks (Liquid),Forge 2 / Heart 4 / Nectar 3 / Winter 2
Thunderskin's Paean,Heart,10,Drums & Dances,Instrument,Thunderskin's Paean (Memory),Grail 1 / Heart 4 / Scale 1
Gideon's Soaks,Heart,10,Surgeries & Exsanguinations,Liquid,Gideon's Soaks (Liquid),Forge 2 / Heart 4 / Nectar 3 / Winter 2
Gideon's Soaks,Heart,10,Maggephene Mysteries,Liquid,Gideon's Soaks (Liquid),Forge 2 / Heart 4 / Nectar 3 / Winter 2
Gideon's Soaks,Heart,10,Herbs & Infusions,Liquid,Gideon's Soaks (Liquid),Forge 2 / Heart 4 / Nectar 3 / Winter 2
Thunderskin's Paean,Heart,10,Strings & Songs,Instrument,Thunderskin's Paean (Memory),Grail 1 / Heart 4 / Scale 1
Swaddled Thunder,Heart,15,Weaving & Knotworking,Frith-Weft (Fabric),Swaddled Thunder (Fabric),Heart 6 / Sky 4
Swaddled Thunder,Heart,15,Stitching & Binding,Frith-Weft (Fabric),Swaddled Thunder (Fabric),Heart 6 / Sky 4
Swaddled Thunder,Heart,15,Quenchings & Quellings,Frith-Weft (Fabric),Swaddled Thunder (Fabric),Heart 6 / Sky 4
Swaddled Thunder,Heart,15,Drums & Dances,Thunderskin's Paean (Memory),Swaddled Thunder (Fabric),Heart 6 / Sky 4
Swaddled Thunder,Heart,15,Strings & Songs,Thunderskin's Paean (Memory),Swaddled Thunder (Fabric),Heart 6 / Sky 4
January Sanguinary,Heart,15,Maggephene Mysteries,Gideon's Soaks (Liquid),January Sanguinary (Liquid),Heart 5 / Knock 3 / Sky 3
January Sanguinary,Heart,15,Surgeries & Exsanguinations,Gideon's Soaks (Liquid),January Sanguinary (Liquid),Heart 5 / Knock 3 / Sky 3
January Sanguinary,Heart,15,Herbs & Infusions,Gideon's Soaks (Liquid),January Sanguinary (Liquid),Heart 5 / Knock 3 / Sky 3
January Sanguinary,Heart,15,Edicts Inviolable,Gideon's Soaks (Liquid),January Sanguinary (Liquid),Heart 5 / Knock 3 / Sky 3
Secret Threshold,Knock,5,Edicts Liminal,,Secret Threshold (Memory),Knock 2 / Rose 1
Secret Threshold,Knock,5,Door & Wall,,Secret Threshold (Memory),Knock 2 / Rose 1
Secret Threshold,Knock,5,Horns & Ivories,,Secret Threshold (Memory),Knock 2 / Rose 1
Secret Threshold,Knock,5,Preliminal Meter,,Secret Threshold (Memory),Knock 2 / Rose 1
Amethyst Ampoule,Knock,5,Glassblowing & Vesselcrafting,,Amethyst Ampoule (Liquid),Heart 2 / Knock 2
Amethyst Ampoule,Knock,5,Surgeries & Exsanguinations,,Amethyst Ampoule (Liquid),Heart 2 / Knock 2
Amethyst Ampoule,Knock,5,Solutions & Separations,,Amethyst Ampoule (Liquid),Heart 2 / Knock 2
Amethyst Ampoule,Knock,5,Lockworks & Clockworks,,Amethyst Ampoule (Liquid),Heart 2 / Knock 2
Amethyst Ampoule,Knock,5,The Great Signs and the Great Scars,,Amethyst Ampoule (Liquid),Heart 2 / Knock 2
Wire (Orichalcum),Knock,10,Glassblowing & Vesselcrafting,Metal,Wire (Orichalcum) (Material),Forge 4 / Lantern 1
Gervinite,Knock,10,Lockworks & Clockworks,Glass,Gervinite (Material),Knock 4 / Rose 2
Curious Hunch,Knock,10,The Great Signs and the Great Scars,Memory,Curious Hunch (Persistent Memory),Heart 3 / Knock 4 / Lantern 3 / Moth 3
Glassfinger Toxin,Knock,10,Edicts Liminal,Liquid,Glassfinger Toxin (Liquid),Forge 2 / Knock 4 / Lantern 2
Curious Hunch,Knock,10,Preliminal Meter,Memory,Curious Hunch (Persistent Memory),Heart 3 / Knock 4 / Lantern 3 / Moth 3
Glassfinger Toxin,Knock,10,Solutions & Separations,Liquid,Glassfinger Toxin (Liquid),Forge 2 / Knock 4 / Lantern 2
Glassfinger Toxin,Knock,10,Surgeries & Exsanguinations,Liquid,Glassfinger Toxin (Liquid),Forge 2 / Knock 4 / Lantern 2
Glassfinger Toxin,Knock,10,Door & Wall,Liquid,Glassfinger Toxin (Liquid),Forge 2 / Knock 4 / Lantern 2
Chimeric Larva,Knock,10,Horns & Ivories,Egg,Chimeric Larva (Beast),Knock 2 / Moon 2 / Moth 4
January Sanguinary,Knock,15,Surgeries & Exsanguinations,Glassfinger Toxin (Liquid),January Sanguinary (Liquid),Heart 5 / Knock 3 / Sky 3
Chronsichord,Knock,15,Glassblowing & Vesselcrafting,Gervinite (Material),Chronsichord (Device),Forge 3 / Knock 6 / Sky 3 / Winter 3
Chronsichord,Knock,15,Lockworks & Clockworks,Gervinite (Material),Chronsichord (Device),Forge 3 / Knock 6 / Sky 3 / Winter 3
Chronsichord,Knock,15,Preliminal Meter,Gervinite (Material),Chronsichord (Device),Forge 3 / Knock 6 / Sky 3 / Winter 3
Chronsichord,Knock,15,The Great Signs and the Great Scars,Gervinite (Material),Chronsichord (Device),Forge 3 / Knock 6 / Sky 3 / Winter 3
Sacrament Ascite,Knock,15,Glassblowing & Vesselcrafting,Glassfinger Toxin (Liquid),Sacrament Ascite (Beverage),Knock 6
Sacrament Ascite,Knock,15,Door & Wall,Glassfinger Toxin (Liquid),Sacrament Ascite (Beverage),Knock 6
Sacrament Ascite,Knock,15,Solutions & Separations,Glassfinger Toxin (Liquid),Sacrament Ascite (Beverage),Knock 6
Sacrament Ascite,Knock,15,Horns & Ivories,Glassfinger Toxin (Liquid),Sacrament Ascite (Beverage),Knock 6
Sacrament Ascite,Knock,15,Edicts Liminal,Glassfinger Toxin (Liquid),Sacrament Ascite (Beverage),Knock 6
Chronsichord,Knock,15,Glaziery & Lightsmithing,Gervinite (Material),Chronsichord (Device),Forge 3 / Knock 6 / Sky 3 / Winter 3
Refulgin,Lantern,5,Purifications & Exaltations,,Refulgin (Material),Lantern 2
Refulgin,Lantern,5,Transformations & Liberations,,Refulgin (Material),Lantern 2
Refulgin,Lantern,5,Sacra Solis Invicti,,Refulgin (Material),Lantern 2
Refulgin,Lantern,5,Inks of Revelation,,Refulgin (Material),Lantern 2
Dearday Lens,Lantern,5,Glaziery & Lightsmithing,,Dearday Lens (Device),Edge 1 / Forge 1 / Lantern 2 / Sky 2
Dearday Lens,Lantern,5,Glassblowing & Vesselcrafting,,Dearday Lens (Device),Edge 1 / Forge 1 / Lantern 2 / Sky 2
Dearday Lens,Lantern,5,Pyroglyphics,,Dearday Lens (Device),Edge 1 / Forge 1 / Lantern 2 / Sky 2
Dearday Lens,Lantern,5,Disciplines of the Scar,,Dearday Lens (Device),Edge 1 / Forge 1 / Lantern 2 / Sky 2
Tanglebrag,Lantern,5,Watchman's Paradoxes,,Tanglebrag (Material),Lantern 1 / Moth 2 / Nectar 1 / Scale 1
Eigengrau,Lantern,5,Auroral Contemplations,,Eigengrau (Beverage),Moon 1 / Winter 1
Xanthotic Essence,Lantern,10,Purifications & Exaltations,Liquid,Xanthotic Essence (Liquid),Forge 2 / Knock 2 / Lantern 5
Xanthotic Essence,Lantern,10,Transformations & Liberations,Liquid,Xanthotic Essence (Liquid),Forge 2 / Knock 2 / Lantern 5
Xanthotic Essence,Lantern,10,Auroral Contemplations,Liquid,Xanthotic Essence (Liquid),Forge 2 / Knock 2 / Lantern 5
Xanthotic Essence,Lantern,10,Pyroglyphics,Liquid,Xanthotic Essence (Liquid),Forge 2 / Knock 2 / Lantern 5
Ichor Vitreous,Lantern,10,Glassblowing & Vesselcrafting,Glass,Ichor Vitreous (Liquid),Lantern 4
Ichor Vitreous,Lantern,10,Watchman's Paradoxes,Glass,Ichor Vitreous (Liquid),Lantern 4
Ichor Vitreous,Lantern,10,Glaziery & Lightsmithing,Glass,Ichor Vitreous (Liquid),Lantern 4
Ichor Vitreous,Lantern,10,Sacra Solis Invicti,Glass,Ichor Vitreous (Liquid),Lantern 4
Ichor Vitreous,Lantern,10,Inks of Revelation,Glass,Ichor Vitreous (Liquid),Lantern 4
Old Moment,Lantern,10,Disciplines of the Scar,Memory,Old Moment (Memory),Lantern 2 / Moth 2 / Scale 4
Uzult,Lantern,15,Inks of Revelation,Xanthotic Essence (Liquid),Uzult (Liquid),Lantern 7 / Moth 7 / Sky 7
Uzult,Lantern,15,Sacra Solis Invicti,Xanthotic Essence (Liquid),Uzult (Liquid),Lantern 7 / Moth 7 / Sky 7
Ashartine,Lantern,15,Pyroglyphics,Ichor Vitreous (Liquid),Ashartine (Liquid),Lantern 6 / Sky 2
Ashartine,Lantern,15,Watchman's Paradoxes,Ichor Vitreous (Liquid),Ashartine (Liquid),Lantern 6 / Sky 2
Ashartine,Lantern,15,Glaziery & Lightsmithing,Ichor Vitreous (Liquid),Ashartine (Liquid),Lantern 6 / Sky 2
Uzult,Lantern,15,Watchman's Paradoxes,Xanthotic Essence (Liquid),Uzult (Liquid),Lantern 7 / Moth 7 / Sky 7
Porphyrine,Lantern,15,Auroral Contemplations,Ichor Auroral (Liquid),Porphyrine (Liquid),Knock 7 / Moon 7 / Rose 7
Earthquake Name,Lantern,15,Disciplines of the Scar,Old Moment (Memory),Earthquake Name (Persistent Memory),Forge 3 / Scale 6
Uzult,Lantern,15,Glaziery & Lightsmithing,Xanthotic Essence (Liquid),Uzult (Liquid),Lantern 7 / Moth 7 / Sky 7
Xanthotic Essence,Lantern,15,Purifications & Exaltations,Bitterblack Salts (Material),Xanthotic Essence (Liquid),Forge 2 / Knock 2 / Lantern 5
Xanthotic Essence,Lantern,15,Purifications & Exaltations,Iotic Essence (Liquid),Xanthotic Essence (Liquid),Forge 2 / Knock 2 / Lantern 5
Ashartine,Lantern,15,Glassblowing & Vesselcrafting,Ichor Vitreous (Liquid),Ashartine (Liquid),Lantern 6 / Sky 2
Uzult,Lantern,15,Anbary & Lapidary,Xanthotic Essence (Liquid),Uzult (Liquid),Lantern 7 / Moth 7 / Sky 7
Midnight Mark,Moon,5,Sharps,,Midnight Mark (Mark),Moon 2 / Moth 1
Midnight Mark,Moon,5,Desires & Dissolutions,,Midnight Mark (Mark),Moon 2 / Moth 1
Midnight Mark,Moon,5,Snow Stories,,Midnight Mark (Mark),Moon 2 / Moth 1
Midnight Mark,Moon,5,Serpents & Venoms,,Midnight Mark (Mark),Moon 2 / Moth 1
Midnight Mark,Moon,5,Insects & Nectars,,Midnight Mark (Mark),Moon 2 / Moth 1
Midnight Mark,Moon,5,Wolf Stories,,Midnight Mark (Mark),Moon 2 / Moth 1
Midnight Mark,Moon,5,Rhyme & Remembrance,,Midnight Mark (Mark),Moon 2 / Moth 1
Catwink,Moon,5,Inks of Containment,,Catwink (Liquid),Moon 2 / Scale 2
Catwink,Moon,5,Sickle & Eclipse,,Catwink (Liquid),Moon 2 / Scale 2
Catwink,Moon,5,Sand Stories,,Catwink (Liquid),Moon 2 / Scale 2
Catwink,Moon,5,Putrefactions & Calcinations,,Catwink (Liquid),Moon 2 / Scale 2
Catwink,Moon,5,Edicts Inviolable,,Catwink (Liquid),Moon 2 / Scale 2
Confounding Parable,Moon,5,Tridesma Hiera,,Confounding Parable (Memory),Moon 2 / Rose 2 / Sky 2
Salt-Sign,Moon,5,Sea Stories,,Salt-Sign (Mark),Moon 2 / Rose 2
Salt-Sign,Moon,5,Hill & Hollow,,Salt-Sign (Mark),Moon 2 / Rose 2
Bittersweet Certainty,Moon,5,Ouranoscopy,,Bittersweet Certainty (Memory),Lantern 1 / Winter 2
Eigengrau,Moon,5,Maggephene Mysteries,,Eigengrau (Beverage),Moon 1 / Winter 1
Eigengrau,Moon,5,Pearl & Tide,,Eigengrau (Beverage),Moon 1 / Winter 1
Old Wound,Moon,5,Edicts Martial,,Old Wound (Persistent Memory),Edge 1 / Moon 2 / Winter 3
Stymphling,Moon,10,Rhyme & Remembrance,Egg,Stymphling (Carnivore),Moon 3 / Scale 3
Stymphling,Moon,10,Sand Stories,Egg,Stymphling (Carnivore),Moon 3 / Scale 3
Stymphling,Moon,10,Tridesma Hiera,Egg,Stymphling (Carnivore),Moon 3 / Scale 3
Stymphling,Moon,10,Snow Stories,Egg,Stymphling (Carnivore),Moon 3 / Scale 3
Stymphling,Moon,10,Serpents & Venoms,Egg,Stymphling (Carnivore),Moon 3 / Scale 3
Asimel,Moon,10,Putrefactions & Calcinations,Liquid,Asimel (Liquid),Knock 3 / Moon 5
Asimel,Moon,10,Sea Stories,Liquid,Asimel (Liquid),Knock 3 / Moon 5
Asimel,Moon,10,Ouranoscopy,Lens,Asimel (Liquid),Knock 3 / Moon 5
Asimel,Moon,10,Pearl & Tide,Liquid,Asimel (Liquid),Knock 3 / Moon 5
Chimeric Larva,Moon,10,Insects & Nectars,Egg,Chimeric Larva (Beast),Knock 2 / Moon 2 / Moth 4
Chimeric Larva,Moon,10,Hill & Hollow,Egg,Chimeric Larva (Beast),Knock 2 / Moon 2 / Moth 4
Pyrus Auricalcinus,Moon,10,Desires & Dissolutions,Wood,Pyrus Auricalcinus (Fruit),Forge 4 / Nectar 4
Leathy,Moon,10,Inks of Containment,Beverage,Leathy (Beverage),Grail 2 / Moth 4 / Nectar 2 / Scale 2
