Item,Aspect,Level,Required Skill,Extra Requirement,Result,Result Aspects
Solomon's Preparation,Moon,10,Maggephene Mysteries,Flower,Solomon's Preparation (Beverage),Moon 1 / Moth 1 / Winter 4
Solomon's Preparation,Moon,10,Edicts Inviolable,Flower,Solomon's Preparation (Beverage),Moon 1 / Moth 1 / Winter 4
Essential Periost,Moon,10,Sickle & Eclipse,Remains,Essential Periost (Remains),Moon 2 / Nectar 4 / Scale 4 / Winter 4
Essential Periost,Moon,10,Sharps,Remains,Essential Periost (Remains),Moon 2 / Nectar 4 / Scale 4 / Winter 4
Essential Periost,Moon,10,Wolf Stories,Remains,Essential Periost (Remains),Moon 2 / Nectar 4 / Scale 4 / Winter 4
Wormwood Dream,Moon,10,Edicts Martial,Memory,Wormwood Dream (Persistent Memory),Edge 3 / Moon 6 / Winter 6
Forbidden Epic,Moon,15,Edicts Martial,Confounding Parable (Memory),Forbidden Epic (Persistent Memory),Edge 6 / Moon 4 / Rose 4
Sacrament Ascite,Moon,15,Serpents & Venoms,Glassfinger Toxin (Liquid),Sacrament Ascite (Beverage),Knock 6
Black Sapphire Wash,Moon,15,Desires & Dissolutions,Asimel (Liquid),Black Sapphire Wash (Liquid),Moon 6
Black Sapphire Wash,Moon,15,Putrefactions & Calcinations,Asimel (Liquid),Black Sapphire Wash (Liquid),Moon 6
Black Sapphire Wash,Moon,15,Sea Stories,Asimel (Liquid),Black Sapphire Wash (Liquid),Moon 6
Black Sapphire Wash,Moon,15,Pearl & Tide,Asimel (Liquid),Black Sapphire Wash (Liquid),Moon 6
Black Sapphire Wash,Moon,15,Tridesma Hiera,Asimel (Liquid),Black Sapphire Wash (Liquid),Moon 6
Wormwood Dream,Moon,15,Wolf Stories,Stymphling (Carnivore),Wormwood Dream (Persistent Memory),Edge 3 / Moon 6 / Winter 6
Wormwood Dream,Moon,15,Edicts Inviolable,Stymphling (Carnivore),Wormwood Dream (Persistent Memory),Edge 3 / Moon 6 / Winter 6
Wormwood Dream,Moon,15,Rhyme & Remembrance,Stymphling (Carnivore),Wormwood Dream (Persistent Memory),Edge 3 / Moon 6 / Winter 6
Wormwood Dream,Moon,15,Sickle & Eclipse,Stymphling (Carnivore),Wormwood Dream (Persistent Memory),Edge 3 / Moon 6 / Winter 6
Wormwood Dream,Moon,15,Snow Stories,Stymphling (Carnivore),Wormwood Dream (Persistent Memory),Edge 3 / Moon 6 / Winter 6
Perilous Imago,Moon,15,Insects & Nectars,Chimeric Larva (Herbivore),Perilous Imago (Beast),Knock 2 / Moon 2 / Moth 6 / Scale 2
Didumos,Moon,15,Ouranoscopy,Asimel (Liquid),Didumos (Persistent Memory),Knock 3 / Lantern 3 / Sky 6 / Winter 3
Skinshuck Mead,Moon,15,Insects & Nectars,Cuckoo-Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Westcott's Compounds,Moth,5,Sacra Limiae,,Westcott's Compounds (Material),Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Westcott's Compounds,Moth,5,Solutions & Separations,,Westcott's Compounds (Material),Forge 2 / Grail 1 / Lantern 1 / Moth 1 / Nectar 1
Paint: Moth-Gold,Moth,5,Inks of Revelation,,Paint: Moth-Gold (Liquid),Moth 2
Tanglebrag,Moth,5,Edicts Liminal,,Tanglebrag (Material),Lantern 1 / Moth 2 / Nectar 1 / Scale 1
Tanglebrag,Moth,5,Resurgences & Emergences,,Tanglebrag (Material),Lantern 1 / Moth 2 / Nectar 1 / Scale 1
Tanglebrag,Moth,5,Rites of the Roots,,Tanglebrag (Material),Lantern 1 / Moth 2 / Nectar 1 / Scale 1
Tanglebrag,Moth,5,Weaving & Knotworking,,Tanglebrag (Material),Lantern 1 / Moth 2 / Nectar 1 / Scale 1
Asimel,Moth,10,Inks of Revelation,Liquid,Asimel (Liquid),Knock 3 / Moon 5
Nameday Riddle,Moth,10,Sacra Limiae,Memory,Nameday Riddle (Memory),Knock 2 / Moth 3
Nameday Riddle,Moth,10,Edicts Liminal,Memory,Nameday Riddle (Memory),Knock 2 / Moth 3
Nameday Riddle,Moth,10,Solutions & Separations,Memory,Nameday Riddle (Memory),Knock 2 / Moth 3
Nameday Riddle,Moth,10,Rites of the Roots,Memory,Nameday Riddle (Memory),Knock 2 / Moth 3
Nameday Riddle,Moth,10,Weaving & Knotworking,Memory,Nameday Riddle (Memory),Knock 2 / Moth 3
Chimeric Larva,Moth,10,Resurgences & Emergences,Egg,Chimeric Larva (Beast),Knock 2 / Moon 2 / Moth 4
Chimeric Larva,Moth,10,Transformations & Liberations,Egg,Chimeric Larva (Beast),Knock 2 / Moon 2 / Moth 4
Skinshuck Mead,Moth,15,Solutions & Separations,Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Skinshuck Mead,Moth,15,Edicts Liminal,Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Skinshuck Mead,Moth,15,Sacra Limiae,Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Skinshuck Mead,Moth,15,Rites of the Roots,Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Perilous Imago,Moth,15,Resurgences & Emergences,Chimeric Larva (Herbivore),Perilous Imago (Beast),Knock 2 / Moon 2 / Moth 6 / Scale 2
Perilous Imago,Moth,15,Transformations & Liberations,Chimeric Larva (Herbivore),Perilous Imago (Beast),Knock 2 / Moon 2 / Moth 6 / Scale 2
Skinshuck Mead,Moth,15,Solutions & Separations,Cuckoo-Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Skinshuck Mead,Moth,15,Edicts Liminal,Cuckoo-Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Skinshuck Mead,Moth,15,Sacra Limiae,Cuckoo-Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Skinshuck Mead,Moth,15,Rites of the Roots,Cuckoo-Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Skinshuck Mead,Moth,15,Resurgences & Emergences,Cuckoo-Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Skinshuck Mead,Moth,15,Transformations & Liberations,Cuckoo-Honey (Sustenance),Skinshuck Mead (Beverage),Heart 2 / Moth 6 / Nectar 2 / Scale 2
Perilous Imago,Moth,15,Insects & Nectars,Chimeric Larva (Herbivore),Perilous Imago (Beast),Knock 2 / Moon 2 / Moth 6 / Scale 2
Thirza's Cordials,Nectar,5,Herbs & Infusions,,Thirza's Cordials (Beverage),Moth 2 / Nectar 2
Thirza's Cordials,Nectar,5,Coil & Chasm,,Thirza's Cordials (Beverage),Moth 2 / Nectar 2
Thirza's Cordials,Nectar,5,Spices & Savours,,Thirza's Cordials (Beverage),Moth 2 / Nectar 2
Thirza's Cordials,Nectar,5,Orchids & Narcotics,,Thirza's Cordials (Beverage),Moth 2 / Nectar 2
Thirza's Cordials,Nectar,5,Stone Stories,,Thirza's Cordials (Beverage),Moth 2 / Nectar 2
Yewgall Ink,Nectar,5,Insects & Nectars,,Yewgall Ink (Liquid),Nectar 2
Yewgall Ink,Nectar,5,Rites of the Roots,,Yewgall Ink (Liquid),Nectar 2
Yewgall Ink,Nectar,5,Leaves & Thorns,,Yewgall Ink (Liquid),Nectar 2
Yewgall Ink,Nectar,5,Inks of Power,,Yewgall Ink (Liquid),Nectar 2
Yewgall Ink,Nectar,5,Inks of Revelation,,Yewgall Ink (Liquid),Nectar 2
Yewgall Ink,Nectar,5,Inks of Containment,,Yewgall Ink (Liquid),Nectar 2
Savage Hymn,Nectar,5,Drums & Dances,,Savage Hymn (Memory),Scale 2 / Sky 2
Essential Periost,Nectar,10,Stone Stories,Remains,Essential Periost (Remains),Moon 2 / Nectar 4 / Scale 4 / Winter 4
Pyrus Auricalcinus,Nectar,10,Leaves & Thorns,Wood,Pyrus Auricalcinus (Fruit),Forge 4 / Nectar 4
Pyrus Auricalcinus,Nectar,10,Spices & Savours,Wood,Pyrus Auricalcinus (Fruit),Forge 4 / Nectar 4
Hive's Lament,Nectar,10,Drums & Dances,Instrument,Hive's Lament (Persistent Memory),Moth 2 / Nectar 4 / Winter 2
Pyrus Auricalcinus,Nectar,10,Coil & Chasm,Wood,Pyrus Auricalcinus (Fruit),Forge 4 / Nectar 4
Leathy,Nectar,10,Rites of the Roots,Beverage,Leathy (Beverage),Grail 2 / Moth 4 / Nectar 2 / Scale 2
Leathy,Nectar,10,Orchids & Narcotics,Beverage,Leathy (Beverage),Grail 2 / Moth 4 / Nectar 2 / Scale 2
Leathy,Nectar,10,Herbs & Infusions,Beverage,Leathy (Beverage),Grail 2 / Moth 4 / Nectar 2 / Scale 2
Leathy,Nectar,10,Insects & Nectars,Beverage,Leathy (Beverage),Grail 2 / Moth 4 / Nectar 2 / Scale 2
Sacrament Malachite,Nectar,15,Drums & Dances,Pyrus Auricalcinus (Fruit),Sacrament Malachite (Beverage),Nectar 6
Marakat,Nectar,15,Insects & Nectars,Leathy (Beverage),Marakat (Liquid),Grail 7 / Knock 7 / Nectar 7
Marakat,Nectar,15,Inks of Power,Leathy (Beverage),Marakat (Liquid),Grail 7 / Knock 7 / Nectar 7
Marakat,Nectar,15,Tridesma Hiera,Leathy (Beverage),Marakat (Liquid),Grail 7 / Knock 7 / Nectar 7
Sacrament Malachite,Nectar,15,Spices & Savours,Pyrus Auricalcinus (Fruit),Sacrament Malachite (Beverage),Nectar 6
Sacrament Malachite,Nectar,15,Leaves & Thorns,Pyrus Auricalcinus (Fruit),Sacrament Malachite (Beverage),Nectar 6
Sacrament Malachite,Nectar,15,Rites of the Roots,Pyrus Auricalcinus (Fruit),Sacrament Malachite (Beverage),Nectar 6
Sacrament Malachite,Nectar,15,Herbs & Infusions,Pyrus Auricalcinus (Fruit),Sacrament Malachite (Beverage),Nectar 6
Sacrament Malachite,Nectar,15,Coil & Chasm,Pyrus Auricalcinus (Fruit),Sacrament Malachite (Beverage),Nectar 6
Sacrament Malachite,Nectar,15,Stone Stories,Essential Periost (Remains),Sacrament Malachite (Beverage),Nectar 6
Confounding Parable,Rose,5,Preliminal Meter,,Confounding Parable (Memory),Moon 2 / Rose 2 / Sky 2
Confounding Parable,Rose,5,Sky Stories,,Confounding Parable (Memory),Moon 2 / Rose 2 / Sky 2
Salt-Sign,Rose,5,Pearl & Tide,,Salt-Sign (Mark),Moon 2 / Rose 2
Salt-Sign,Rose,5,Path & Pilgrim,,Salt-Sign (Mark),Moon 2 / Rose 2
Salt-Sign,Rose,5,Sand Stories,,Salt-Sign (Mark),Moon 2 / Rose 2
Salt-Sign,Rose,5,Inks of Power,,Salt-Sign (Mark),Moon 2 / Rose 2
Ichor Auroral,Rose,10,Auroral Contemplations,Light,Ichor Auroral (Liquid),Lantern 4 / Rose 2
Ichor Auroral,Rose,10,Sand Stories,Light,Ichor Auroral (Liquid),Lantern 4 / Rose 2
Ichor Auroral,Rose,10,Inks of Power,Light,Ichor Auroral (Liquid),Lantern 4 / Rose 2
Enduring Reflection,Rose,10,Preliminal Meter,Memory,Enduring Reflection (Persistent Memory),Heart 1 / Knock 1 / Rose 3
Enduring Reflection,Rose,10,Pearl & Tide,Memory,Enduring Reflection (Persistent Memory),Heart 1 / Knock 1 / Rose 3
Enduring Reflection,Rose,10,Path & Pilgrim,Memory,Enduring Reflection (Persistent Memory),Heart 1 / Knock 1 / Rose 3
Enduring Reflection,Rose,10,Sky Stories,Memory,Enduring Reflection (Persistent Memory),Heart 1 / Knock 1 / Rose 3
Porphyrine,Rose,15,Pearl & Tide,Lenten Rose (Flower),Porphyrine (Liquid),Knock 7 / Moon 7 / Rose 7
Porphyrine,Rose,15,Inks of Revelation,Ichor Auroral (Liquid),Porphyrine (Liquid),Knock 7 / Moon 7 / Rose 7
Horizon-Sight,Rose,15,Preliminal Meter,Enduring Reflection (Persistent Memory),Horizon-Sight (Persistent Memory),Rose 4
Horizon-Sight,Rose,15,Sand Stories,Enduring Reflection (Persistent Memory),Horizon-Sight (Persistent Memory),Rose 4
Horizon-Sight,Rose,15,Sky Stories,Enduring Reflection (Persistent Memory),Horizon-Sight (Persistent Memory),Rose 4
Horizon-Sight,Rose,15,Path & Pilgrim,Enduring Reflection (Persistent Memory),Horizon-Sight (Persistent Memory),Rose 4
Porphyrine,Rose,15,Sand Stories,Ichor Auroral (Liquid),Porphyrine (Liquid),Knock 7 / Moon 7 / Rose 7
Porphyrine,Rose,15,Inks of Power,Ichor Auroral (Liquid),Porphyrine (Liquid),Knock 7 / Moon 7 / Rose 7
Perhibiate,Scale,5,Inks of Power,,Perhibiate (Liquid),Heart 2 / Lantern 2 / Scale 2 / Winter 1
Bisclavret's Knot,Scale,5,Path & Pilgrim,,Bisclavret's Knot (Mark),Moth 1 / Scale 2
Bisclavret's Knot,Scale,5,Serpents & Venoms,,Bisclavret's Knot (Mark),Moth 1 / Scale 2
Bisclavret's Knot,Scale,5,Coil & Chasm,,Bisclavret's Knot (Mark),Moth 1 / Scale 2
Savage Hymn,Scale,5,Stone Stories,,Savage Hymn (Memory),Scale 2 / Sky 2
Savage Hymn,Scale,5,Drums & Dances,,Savage Hymn (Memory),Scale 2 / Sky 2
Bisclavret's Knot,Scale,5,Horns & Ivories,,Bisclavret's Knot (Mark),Moth 1 / Scale 2
Bisclavret's Knot,Scale,5,Furs & Feathers,,Bisclavret's Knot (Mark),Moth 1 / Scale 2
Bisclavret's Knot,Scale,5,Wolf Stories,,Bisclavret's Knot (Mark),Moth 1 / Scale 2
Bisclavret's Knot,Scale,5,Pentiments & Precursors,,Bisclavret's Knot (Mark),Moth 1 / Scale 2
Bisclavret's Knot,Scale,5,Hill & Hollow,,Bisclavret's Knot (Mark),Moth 1 / Scale 2
Perinculate,Scale,10,Inks of Power,Leaf,Perinculate (Liquid),Edge 4 / Scale 4
Glassfinger Toxin,Scale,10,Serpents & Venoms,Liquid,Glassfinger Toxin (Liquid),Forge 2 / Knock 4 / Lantern 2
Living Relic,Scale,10,Hill & Hollow,Egg,Living Relic (Carnivore),Heart 1 / Scale 4 / Sky 2
Living Relic,Scale,10,Furs & Feathers,Egg,Living Relic (Carnivore),Heart 1 / Scale 4 / Sky 2
Living Relic,Scale,10,Stone Stories,Egg,Living Relic (Carnivore),Heart 1 / Scale 4 / Sky 2
Living Relic,Scale,10,Pentiments & Precursors,Egg,Living Relic (Carnivore),Heart 1 / Scale 4 / Sky 2
Old Moment,Scale,10,Horns & Ivories,Memory,Old Moment (Memory),Lantern 2 / Moth 2 / Scale 4
Old Moment,Scale,10,Path & Pilgrim,Memory,Old Moment (Memory),Lantern 2 / Moth 2 / Scale 4
Old Moment,Scale,10,Coil & Chasm,Memory,Old Moment (Memory),Lantern 2 / Moth 2 / Scale 4
Old Moment,Scale,10,Wolf Stories,Memory,Old Moment (Memory),Lantern 2 / Moth 2 / Scale 4
Earthquake Name,Scale,15,Stone Stories,Old Moment (Memory),Earthquake Name (Persistent Memory),Forge 3 / Scale 6
Earthquake Name,Scale,15,Coil & Chasm,Old Moment (Memory),Earthquake Name (Persistent Memory),Forge 3 / Scale 6
Earthquake Name,Scale,15,Hill & Hollow,Old Moment (Memory),Earthquake Name (Persistent Memory),Forge 3 / Scale 6
Earthquake Name,Scale,15,Wolf Stories,Old Moment (Memory),Earthquake Name (Persistent Memory),Forge 3 / Scale 6
Houndsgall,Scale,15,Inks of Containment,Living Relic (Carnivore),Houndsgall (Liquid),Heart 2 / Scale 5
Houndsgall,Scale,15,Horns & Ivories,Living Relic (Carnivore),Houndsgall (Liquid),Heart 2 / Scale 5
Houndsgall,Scale,15,Path & Pilgrim,Living Relic (Carnivore),Houndsgall (Liquid),Heart 2 / Scale 5
Houndsgall,Scale,15,Pentiments & Precursors,Living Relic (Carnivore),Houndsgall (Liquid),Heart 2 / Scale 5
Serpent-Milk,Scale,15,Serpents & Venoms,Perinculate (Liquid),Serpent-Milk (Beverage),Edge 6 / Knock 2 / Scale 3
Torgue's Cleansing,Sky,5,Purifications & Exaltations,,Torgue's Cleansing (Memory),Edge 2
Confounding Parable,Sky,5,Applebright Euphonies,,Confounding Parable (Memory),Moon 2 / Rose 2 / Sky 2
Confounding Parable,Sky,5,Sacra Solis Invicti,,Confounding Parable (Memory),Moon 2 / Rose 2 / Sky 2
Awakened Feather,Sky,5,Anbary & Lapidary,,Awakened Feather (Material),Scale 1 / Sky 2
Awakened Feather,Sky,5,Lockworks & Clockworks,,Awakened Feather (Material),Scale 1 / Sky 2
Awakened Feather,Sky,5,Stitching & Binding,,Awakened Feather (Material),Scale 1 / Sky 2
Awakened Feather,Sky,5,Sights & Sensations,,Awakened Feather (Material),Scale 1 / Sky 2
Awakened Feather,Sky,5,Sacra Limiae,,Awakened Feather (Material),Scale 1 / Sky 2
Wistful Air,Sky,5,Strings & Songs,,Wistful Air (Memory),Rose 2 / Sky 2
Wistful Air,Sky,5,Bells & Brazieries,,Wistful Air (Memory),Rose 2 / Sky 2
Wistful Air,Sky,5,Ouranoscopy,,Wistful Air (Memory),Rose 2 / Sky 2
Wistful Air,Sky,5,Watchman's Paradoxes,,Wistful Air (Memory),Rose 2 / Sky 2
Wistful Air,Sky,5,Sky Stories,,Wistful Air (Memory),Rose 2 / Sky 2
Dearday Lens,Sky,5,Glaziery & Lightsmithing,,Dearday Lens (Device),Edge 1 / Forge 1 / Lantern 2 / Sky 2
Awakened Feather,Sky,5,Furs & Feathers,,Awakened Feather (Material),Scale 1 / Sky 2
Stargall Ink,Sky,5,Inks of Power,,Stargall Ink (Liquid),Sky 2
Stargall Ink,Sky,5,Inks of Revelation,,Stargall Ink (Liquid),Sky 2
Stargall Ink,Sky,5,Inks of Containment,,Stargall Ink (Liquid),Sky 2
Dearday Lens,Sky,5,Glassblowing & Vesselcrafting,,Dearday Lens (Device),Edge 1 / Forge 1 / Lantern 2 / Sky 2
Wire (Orichalcum),Sky,10,Lockworks & Clockworks,Metal,Wire (Orichalcum) (Material),Forge 4 / Lantern 1
Gervinite,Sky,10,Glaziery & Lightsmithing,Metal,Gervinite (Material),Knock 4 / Rose 2
Xanthotic Essence,Sky,10,Anbary & Lapidary,Liquid,Xanthotic Essence (Liquid),Forge 2 / Knock 2 / Lantern 5
Ichor Auroral,Sky,10,Sights & Sensations,Light,Ichor Auroral (Liquid),Lantern 4 / Rose 2
Ichor Auroral,Sky,10,Watchman's Paradoxes,Light,Ichor Auroral (Liquid),Lantern 4 / Rose 2
Living Relic,Sky,10,Stitching & Binding,Egg,Living Relic (Carnivore),Heart 1 / Scale 4 / Sky 2
Mazarine Fife,Sky,10,Ouranoscopy,Wood,Mazarine Fife,Sky 3
Mazarine Fife,Sky,10,Sacra Limiae,Wood,Mazarine Fife,Sky 3
Mazarine Fife,Sky,10,Sacra Solis Invicti,Wood,Mazarine Fife,Sky 3
Ascendant Harmony,Sky,10,Applebright Euphonies,Instrument,Ascendant Harmony (Persistent Memory),Lantern 2 / Sky 4
Ascendant Harmony,Sky,10,Sky Stories,Instrument,Ascendant Harmony (Persistent Memory),Lantern 2 / Sky 4
Ascendant Harmony,Sky,10,Furs & Feathers,Instrument,Ascendant Harmony (Persistent Memory),Lantern 2 / Sky 4
Ascendant Harmony,Sky,10,Strings & Songs,Instrument,Ascendant Harmony (Persistent Memory),Lantern 2 / Sky 4
Ascendant Harmony,Sky,10,Bells & Brazieries,Instrument,Ascendant Harmony (Persistent Memory),Lantern 2 / Sky 4
Ascendant Harmony,Sky,10,Purifications & Exaltations,Instrument,Ascendant Harmony (Persistent Memory),Lantern 2 / Sky 4
Ichor Vitreous,Sky,10,Glassblowing & Vesselcrafting,Glass,Ichor Vitreous (Liquid),Lantern 4
Ashartine,Sky,15,Anbary & Lapidary,Ichor Vitreous (Liquid),Ashartine (Liquid),Lantern 6 / Sky 2
Wind-in-Waiting,Sky,15,Strings & Songs,Mazarine Fife,Wind-in-Waiting (Persistent Memory),Grail 3 / Moth 3 / Scale 3 / Sky 6
Wind-in-Waiting,Sky,15,Sky Stories,Mazarine Fife,Wind-in-Waiting (Persistent Memory),Grail 3 / Moth 3 / Scale 3 / Sky 6
Wind-in-Waiting,Sky,15,Sacra Solis Invicti,Mazarine Fife,Wind-in-Waiting (Persistent Memory),Grail 3 / Moth 3 / Scale 3 / Sky 6
Wind-in-Waiting,Sky,15,Furs & Feathers,Mazarine Fife,Wind-in-Waiting (Persistent Memory),Grail 3 / Moth 3 / Scale 3 / Sky 6
Chronsichord,Sky,15,Lockworks & Clockworks,Wire (Silver) (Material),Chronsichord (Device),Forge 3 / Knock 6 / Sky 3 / Winter 3
Didumos,Sky,15,Ouranoscopy,Ascendant Harmony (Persistent Memory),Didumos (Persistent Memory),Knock 3 / Lantern 3 / Sky 6 / Winter 3
Didumos,Sky,15,Sights & Sensations,Ascendant Harmony (Persistent Memory),Didumos (Persistent Memory),Knock 3 / Lantern 3 / Sky 6 / Winter 3
Didumos,Sky,15,Bells & Brazieries,Ascendant Harmony (Persistent Memory),Didumos (Persistent Memory),Knock 3 / Lantern 3 / Sky 6 / Winter 3
Didumos,Sky,15,Applebright Euphonies,Ascendant Harmony (Persistent Memory),Didumos (Persistent Memory),Knock 3 / Lantern 3 / Sky 6 / Winter 3
Didumos,Sky,15,Sacra Limiae,Ascendant Harmony (Persistent Memory),Didumos (Persistent Memory),Knock 3 / Lantern 3 / Sky 6 / Winter 3
Ashartine,Sky,15,Glassblowing & Vesselcrafting,Ichor Vitreous (Liquid),Ashartine (Liquid),Lantern 6 / Sky 2
Year-Tally,Sky,15,Ouranoscopy,Essential Periost (Remains),Year-Tally (Mark),Winter 6
Yewgall Ink,Winter,5,Putrefactions & Calcinations,,Yewgall Ink (Liquid),Nectar 2
Bittersweet Certainty,Winter,5,Rhyme & Remembrance,,Bittersweet Certainty (Memory),Lantern 1 / Winter 2
Bittersweet Certainty,Winter,5,Ragged Crossroads,,Bittersweet Certainty (Memory),Lantern 1 / Winter 2
Bittersweet Certainty,Winter,5,Snow Stories,,Bittersweet Certainty (Memory),Lantern 1 / Winter 2
Eigengrau,Winter,5,Sights & Sensations,,Eigengrau (Beverage),Moon 1 / Winter 1
Eigengrau,Winter,5,Quenchings & Quellings,,Eigengrau (Beverage),Moon 1 / Winter 1
Eigengrau,Winter,5,Inks of Containment,,Eigengrau (Beverage),Moon 1 / Winter 1
Bittersweet Certainty,Winter,5,Ouranoscopy,,Bittersweet Certainty (Memory),Lantern 1 / Winter 2
Perinculate,Winter,10,Putrefactions & Calcinations,Leaf,Perinculate (Liquid),Edge 4 / Scale 4
Solomon's Preparation,Winter,10,Sights & Sensations,Flower,Solomon's Preparation (Beverage),Moon 1 / Moth 1 / Winter 4
Solomon's Preparation,Winter,10,Ragged Crossroads,Flower,Solomon's Preparation (Beverage),Moon 1 / Moth 1 / Winter 4
Solomon's Preparation,Winter,10,Quenchings & Quellings,Flower,Solomon's Preparation (Beverage),Moon 1 / Moth 1 / Winter 4
Solomon's Preparation,Winter,10,Inks of Containment,Flower,Solomon's Preparation (Beverage),Moon 1 / Moth 1 / Winter 4
Essential Periost,Winter,10,Rhyme & Remembrance,Remains,Essential Periost (Remains),Moon 2 / Nectar 4 / Scale 4 / Winter 4
Essential Periost,Winter,10,Snow Stories,Remains,Essential Periost (Remains),Moon 2 / Nectar 4 / Scale 4 / Winter 4
Nillycant,Winter,15,Inks of Containment,Solomon's Preparation (Beverage),Nillycant (Liquid),Edge 7 / Scale 7 / Winter 7
Nillycant,Winter,15,Sights & Sensations,Solomon's Preparation (Beverage),Nillycant (Liquid),Edge 7 / Scale 7 / Winter 7
Year-Tally,Winter,15,Snow Stories,Essential Periost (Remains),Year-Tally (Mark),Winter 6
Year-Tally,Winter,15,Ragged Crossroads,Essential Periost (Remains),Year-Tally (Mark),Winter 6
Year-Tally,Winter,15,Rhyme & Remembrance,Essential Periost (Remains),Year-Tally (Mark),Winter 6
Year-Tally,Winter,15,Putrefactions & Calcinations,Essential Periost (Remains),Year-Tally (Mark),Winter 6
Nillycant,Winter,15,Ragged Crossroads,Glassfinger Toxin (Liquid),Nillycant (Liquid),Edge 7 / Scale 7 / Winter 7
Wyrd-Weft,Winter,15,Stitching & Binding,Fabric,Wyrd-Weft (Fabric),Heart 3 / Winter 6
Wyrd-Weft,Winter,15,Weaving & Knotworking,Fabric,Wyrd-Weft (Fabric),Heart 3 / Winter 6